Time,CENTRAL AIR SYSTEM:Des Heat Mass Flow [kg/s],CENTRAL AIR SYSTEM:Des Cool Mass Flow [kg/s],CENTRAL AIR SYSTEM:Des Heat Cap [W],CENTRAL AIR SYSTEM:Des Sens Cool Cap [W] 
01:00:00,1.519080E+00,0.000000E+00,5.418935E+04,0.000000E+00 
02:00:00,1.525657E+00,0.000000E+00,5.442396E+04,0.000000E+00 
03:00:00,1.529239E+00,0.000000E+00,5.455173E+04,0.000000E+00 
04:00:00,1.531241E+00,0.000000E+00,5.462318E+04,0.000000E+00 
05:00:00,1.533117E+00,0.000000E+00,5.469009E+04,0.000000E+00 
06:00:00,1.532583E+00,0.000000E+00,5.467103E+04,0.000000E+00 
07:00:00,1.563491E+00,0.000000E+00,5.577361E+04,0.000000E+00 
08:00:00,1.519481E+00,0.000000E+00,5.420365E+04,0.000000E+00 
09:00:00,1.525022E+00,0.000000E+00,5.440130E+04,0.000000E+00 
10:00:00,1.534390E+00,6.676228E-02,5.473548E+04,9.676579E+02 
11:00:00,1.573429E+00,1.863291E-01,5.612811E+04,3.127563E+03 
12:00:00,1.537761E+00,3.541595E-01,5.485574E+04,6.485561E+03 
13:00:00,1.538453E+00,5.078832E-01,5.488042E+04,9.921219E+03 
14:00:00,1.537994E+00,6.351719E-01,5.486406E+04,1.289281E+04 
15:00:00,1.536902E+00,7.335436E-01,5.482511E+04,1.488957E+04 
16:00:00,1.535257E+00,7.866100E-01,5.476641E+04,1.524585E+04 
17:00:00,1.526474E+00,7.813378E-01,5.445310E+04,1.418894E+04 
18:00:00,1.543953E+00,7.367366E-01,5.507665E+04,1.225371E+04 
19:00:00,1.489556E+00,6.033607E-01,5.313617E+04,8.653002E+03 
20:00:00,1.483862E+00,4.263137E-01,5.293305E+04,5.397651E+03 
21:00:00,1.484766E+00,2.833806E-01,5.296530E+04,3.198395E+03 
22:00:00,1.487781E+00,1.774847E-01,5.307283E+04,1.759215E+03 
23:00:00,1.497206E+00,8.967378E-02,5.340904E+04,7.929633E+02 
24:00:00,1.507797E+00,2.948818E-02,5.378684E+04,2.292289E+02 
Coinc Peak   ,1.573429E+00,7.866100E-01,5.612811E+04,1.524585E+04 
NonCoinc Peak,1.573429E+00,7.866100E-01,5.612811E+04,1.524585E+04 
