Time,LIVING:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
01:00:00,1.648104E+04,3.322556E+02,8.811156E-01,3.116802E-02 
02:00:00,1.658786E+04,0.000000E+00,8.868244E-01,0.000000E+00 
03:00:00,1.664678E+04,0.000000E+00,8.899738E-01,0.000000E+00 
04:00:00,1.668188E+04,0.000000E+00,8.918517E-01,0.000000E+00 
05:00:00,1.671294E+04,0.000000E+00,8.935124E-01,0.000000E+00 
06:00:00,1.670717E+04,0.000000E+00,8.932043E-01,0.000000E+00 
07:00:00,1.655029E+04,0.000000E+00,8.848185E-01,0.000000E+00 
08:00:00,1.651241E+04,0.000000E+00,8.827965E-01,0.000000E+00 
09:00:00,1.659447E+04,0.000000E+00,8.871913E-01,0.000000E+00 
10:00:00,1.673503E+04,1.831132E+02,8.946980E-01,1.718040E-02 
11:00:00,1.669954E+04,1.199418E+03,8.927863E-01,1.125350E-01 
12:00:00,1.678899E+04,2.286504E+03,8.975635E-01,2.144819E-01 
13:00:00,1.680178E+04,3.777105E+03,8.982498E-01,3.543030E-01 
14:00:00,1.679521E+04,4.937572E+03,8.978953E-01,4.631548E-01 
15:00:00,1.677962E+04,5.758191E+03,8.970615E-01,5.401266E-01 
16:00:00,1.675558E+04,6.146250E+03,8.957757E-01,5.765300E-01 
17:00:00,1.662203E+04,6.145827E+03,8.886364E-01,5.765036E-01 
18:00:00,1.625960E+04,5.785818E+03,8.692619E-01,5.427465E-01 
19:00:00,1.605998E+04,5.082857E+03,8.585996E-01,4.768104E-01 
20:00:00,1.596526E+04,4.103049E+03,8.535527E-01,3.848974E-01 
21:00:00,1.597164E+04,3.092744E+03,8.538967E-01,2.901226E-01 
22:00:00,1.601336E+04,2.248379E+03,8.561215E-01,2.109140E-01 
23:00:00,1.615430E+04,1.481214E+03,8.636516E-01,1.389484E-01 
24:00:00,1.631422E+04,8.344277E+02,8.721996E-01,7.827525E-02 
Peak,1.680178E+04,6.146250E+03,8.982498E-01,5.765300E-01 

Peak Vol Flow (m3/s),,,9.307502E-01,5.973899E-01 
