Date/Time,Electricity:Facility [J](Zone Timestep),Gas:Facility [J](Zone Timestep)
 01/01  01:00:00,4456718.371003561,60220766.25170959
 01/01  02:00:00,3996996.585894858,61866260.37002861
 01/01  03:00:00,3785809.547437683,59785855.09735788
 01/01  04:00:00,3648201.044139558,57679147.10737507
 01/01  05:00:00,3594436.047147351,57500250.45813463
 01/01  06:00:00,3658497.484254017,55191285.614624865
 01/01  07:00:00,4459822.380841573,56789032.9999211
 01/01  08:00:00,5491522.970340713,53912403.305585995
 01/01  09:00:00,5163316.634417813,49024830.70832476
 01/01  10:00:00,4421460.819978144,46873682.52117789
 01/01  11:00:00,4270057.676681204,43194745.38405417
 01/01  12:00:00,4293491.3517213985,41255267.979044445
 01/01  13:00:00,4115034.793576205,38604122.269945845
 01/01  14:00:00,4185215.434621487,40849638.14326854
 01/01  15:00:00,4335070.249247308,43650344.013996035
 01/01  16:00:00,4572335.50917045,44075410.244209796
 01/01  17:00:00,5622308.016832992,45755251.672576666
 01/01  18:00:00,7561858.403008261,49593840.01198166
 01/01  19:00:00,8735705.33929825,50196579.569199905
 01/01  20:00:00,8969551.542588035,57784368.986064024
 01/01  21:00:00,8390327.369340334,57754258.04369156
 01/01  22:00:00,7888927.353739005,59573070.4679718
 01/01  23:00:00,6965580.332761994,65518326.46852515
 01/01  24:00:00,5881638.529798601,67748587.7333851
 01/02  01:00:00,4617833.061172949,66617336.97293721
 01/02  02:00:00,4281814.176996426,68352013.29457876
 01/02  03:00:00,4142459.6385099543,69303281.03506683
 01/02  04:00:00,4177686.9151234794,71620826.60039243
 01/02  05:00:00,4233432.184846111,74453531.2121337
 01/02  06:00:00,4595019.159166742,80077524.5946573
 01/02  07:00:00,5517149.9030911885,85513992.26762702
 01/02  08:00:00,6566030.18639023,84203454.57479309
 01/02  09:00:00,6210432.27012939,79753749.4788379
 01/02  10:00:00,5282713.563067567,74033272.3249354
 01/02  11:00:00,5158281.227548592,71622896.42686838
 01/02  12:00:00,4894767.162773504,62308676.48668272
 01/02  13:00:00,4621259.876842121,56697535.65224672
 01/02  14:00:00,4545401.438985116,54694058.02313408
 01/02  15:00:00,4534344.167944901,52612771.11906653
 01/02  16:00:00,4847063.8434712915,55267478.40574562
 01/02  17:00:00,5948968.964383179,57933212.10897677
 01/02  18:00:00,7934503.480448349,62942538.50511573
 01/02  19:00:00,9186262.074789891,65517896.71150512
 01/02  20:00:00,9385005.801827727,72264852.48589957
 01/02  21:00:00,8797784.298691932,72020591.31536093
 01/02  22:00:00,8270783.449305313,73210544.52107173
 01/02  23:00:00,7258738.369746624,76100429.43342163
 01/02  24:00:00,6186349.432921034,77321196.41736504
 01/03  01:00:00,5100755.757873891,79224987.93950063
 01/03  02:00:00,4761770.895278455,80881451.65859166
 01/03  03:00:00,4659298.615556438,82795109.95081148
 01/03  04:00:00,4691696.177979553,85038691.33076546
 01/03  05:00:00,4638151.741050528,85018727.05350551
 01/03  06:00:00,4803872.1687671095,85530870.55469954
 01/03  07:00:00,5620902.99789563,88226066.44099733
 01/03  08:00:00,6752767.466015801,89083495.01685363
 01/03  09:00:00,6218933.159952976,79981697.8775937
 01/03  10:00:00,5230684.578368452,72680860.19263221
 01/03  11:00:00,5059846.047263139,69058422.70907207
 01/03  12:00:00,4905868.032036435,62602741.093157604
 01/03  13:00:00,4593181.286155745,55968238.85051389
 01/03  14:00:00,4397084.319366138,50825633.92937711
 01/03  15:00:00,4303606.553037593,46592517.90040006
 01/03  16:00:00,4475270.577713251,45565027.409619644
 01/03  17:00:00,5628665.614767392,49575043.83394858
 01/03  18:00:00,7751371.122145761,58165630.225726664
 01/03  19:00:00,9025004.707290057,61312835.784775235
 01/03  20:00:00,9143889.501344891,65975726.92446641
 01/03  21:00:00,8664206.00423309,68538548.53898935
 01/03  22:00:00,8144848.893781112,69927557.4753234
 01/03  23:00:00,7074226.8683456145,71287632.6071671
 01/03  24:00:00,5997259.672611797,72387951.87440337
 01/04  01:00:00,4802021.570990845,71428561.88559647
 01/04  02:00:00,4433526.007645745,72313895.94236527
 01/04  03:00:00,4248934.187214082,72083571.38444647
 01/04  04:00:00,4269599.243374549,74020807.69885322
 01/04  05:00:00,4141805.9421575842,72062874.5813029
 01/04  06:00:00,4342528.36906091,73489647.80755048
 01/04  07:00:00,5239869.311491724,78283394.88868333
 01/04  08:00:00,6249841.3025313085,75960736.26843816
 01/04  09:00:00,5909504.829069056,71910434.70657338
 01/04  10:00:00,4852161.638761094,62805673.03617937
 01/04  11:00:00,4643717.930986715,58200925.776668884
 01/04  12:00:00,4512848.318525512,52347725.908345155
 01/04  13:00:00,4332802.31742678,49174997.80308861
 01/04  14:00:00,4024374.2246546494,41099686.4186623
 01/04  15:00:00,3860364.6275521656,35025083.18102371
 01/04  16:00:00,3969951.8805347956,32377030.49104081
 01/04  17:00:00,5029202.515464721,33929748.69408326
 01/04  18:00:00,7019825.959505842,39073111.98865753
 01/04  19:00:00,8239054.94756984,40800979.00884741
 01/04  20:00:00,8329180.737966154,44713694.79349294
 01/04  21:00:00,7906291.616289139,48759000.63627536
 01/04  22:00:00,7299960.922347976,47877236.07671249
 01/04  23:00:00,6195179.109220802,48344886.61290118
 01/04  24:00:00,5050242.375434324,47670032.01904348
 01/05  01:00:00,3871047.8439974072,47128384.848380916
 01/05  02:00:00,3426606.610464958,46030495.04613116
 01/05  03:00:00,3242283.8988365713,45806838.80997042
 01/05  04:00:00,3194285.5664090314,45951626.540554546
 01/05  05:00:00,3139969.7692094794,45911902.268255115
 01/05  06:00:00,3301334.4532173728,46312228.894522406
 01/05  07:00:00,4077526.3677439173,47945676.87462437
 01/05  08:00:00,5145458.087551484,47137689.36201613
 01/05  09:00:00,4960755.575625353,47150485.088689715
 01/05  10:00:00,4210823.2170728315,46069945.53798731
 01/05  11:00:00,3939161.9162446796,39814326.50707752
 01/05  12:00:00,3761545.197323758,32740144.194594234
 01/05  13:00:00,3465480.615370855,26538303.59930668
 01/05  14:00:00,3453551.272839824,26202219.81011621
 01/05  15:00:00,3466012.7241137912,24733796.757745925
 01/05  16:00:00,3550275.5107444846,21424551.499532543
 01/05  17:00:00,4673122.794291439,24637573.862878766
 01/05  18:00:00,6661726.136591575,29728793.612243958
 01/05  19:00:00,7923773.419062632,32575165.475305334
 01/05  20:00:00,8044985.043615211,37299853.16185119
 01/05  21:00:00,7542721.124128725,39273154.07789485
 01/05  22:00:00,7204807.325991298,45397577.819399156
 01/05  23:00:00,6113245.305916465,46209595.137642786
 01/05  24:00:00,5029224.80663454,47123968.55717484
 01/06  01:00:00,3868995.988966167,47076368.40501099
 01/06  02:00:00,3422850.610400148,45933240.89256082
 01/06  03:00:00,3262138.158088027,46325545.31425549
 01/06  04:00:00,3107983.157438515,43699175.82379632
 01/06  05:00:00,3183961.9036554084,47060784.65291985
 01/06  06:00:00,3304233.264708037,46389340.13448482
 01/06  07:00:00,4083406.4715424315,48102690.50663324
 01/06  08:00:00,5165795.886765441,47673769.62593222
 01/06  09:00:00,4835449.8828398185,43885238.27294796
 01/06  10:00:00,3826335.9154235506,36038836.33426205
 01/06  11:00:00,3459544.484213231,27299328.062723305
 01/06  12:00:00,3178291.6398323537,17519171.29613444
 01/06  13:00:00,2894443.715776743,11635630.242748598
 01/06  14:00:00,2817500.76554913,9602015.71079239
 01/06  15:00:00,2824899.095223219,8001088.630553324
 01/06  16:00:00,3004841.88227011,7189303.0774322655
 01/06  17:00:00,4220750.043353039,12831747.180059917
 01/06  18:00:00,6364929.894005496,21984642.186838593
 01/06  19:00:00,7875158.3757703025,31310213.25016139
