Time,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Television,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,Emissions: CO2e: RESNET: Total,Emissions: CO2e: RESNET: Electricity,Emissions: CO2e: RESNET: Natural Gas,Emissions: NOx: RESNET: Total,Emissions: NOx: RESNET: Electricity,Emissions: NOx: RESNET: Natural Gas,Emissions: SO2: RESNET: Total,Emissions: SO2: RESNET: Electricity,Emissions: SO2: RESNET: Natural Gas,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Component Load: Heating: Ceilings,Component Load: Heating: Walls,Component Load: Heating: Rim Joists,Component Load: Heating: Foundation Walls,Component Load: Heating: Doors,Component Load: Heating: Windows,Component Load: Heating: Slabs,Component Load: Heating: Internal Mass,Component Load: Heating: Infiltration,Component Load: Heating: Mechanical Ventilation,Component Load: Heating: Internal Gains,Component Load: Cooling: Ceilings,Component Load: Cooling: Walls,Component Load: Cooling: Rim Joists,Component Load: Cooling: Foundation Walls,Component Load: Cooling: Doors,Component Load: Cooling: Windows,Component Load: Cooling: Slabs,Component Load: Cooling: Internal Mass,Component Load: Cooling: Infiltration,Component Load: Cooling: Natural Ventilation,Component Load: Cooling: Mechanical Ventilation,Component Load: Cooling: Internal Gains,Temperature: Attic - Vented,Temperature: Living Space,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,0.8,23.93,0.2,0.06,0.0,0.0,0.1,0.04,0.06,0.01,0.0,0.02,0.01,0.03,0.29,23.93,3.83196,0.30754,3.52442,0.00278,0.00058,0.00221,0.00034,0.00033,1.0e-05,0.04,0.07,0.39,0.14,15.42,0.0,0.4,1.05,1.39,0.13,4.17,0.66,6.95,0.07,-7.16,9.34,1.16,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46,68.0,132.89,26.91,0.0,-0.4,-0.97,85.0,0.0,0.0,0.0
2007-01-01T02:00:00,0.74,26.94,0.21,0.06,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.01,0.01,0.01,0.28,26.94,4.2519,0.2837,3.96821,0.003,0.00052,0.00248,0.00031,0.0003,2.0e-05,0.03,0.03,0.2,0.07,17.36,0.0,0.21,1.41,1.58,0.18,3.76,0.73,6.55,-0.39,-4.97,8.71,1.9,-2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,68.0,129.68,26.91,0.0,2.12,1.4,83.0,0.0,0.0,0.0
2007-01-01T03:00:00,1.02,27.66,0.21,0.06,0.0,0.32,0.04,0.04,0.06,0.0,0.0,0.01,0.01,0.01,0.27,27.66,4.462,0.38783,4.07418,0.00326,0.00071,0.00255,0.00042,0.00041,2.0e-05,0.02,0.02,0.13,0.05,17.83,0.0,0.14,1.69,1.8,0.22,3.42,0.73,6.34,-0.72,-3.68,8.15,1.81,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,68.0,126.67,26.91,0.0,4.46,3.76,85.0,0.0,0.0,0.0
2007-01-01T04:00:00,0.69,28.13,0.21,0.06,0.0,0.0,0.04,0.04,0.06,0.0,0.0,0.0,0.01,0.01,0.26,28.13,4.40339,0.26007,4.14332,0.00307,0.00048,0.00259,0.00029,0.00027,2.0e-05,0.02,0.01,0.16,0.06,18.13,0.0,0.16,1.97,2.03,0.26,3.2,0.72,6.17,-0.89,-2.92,7.76,1.74,-1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,68.0,124.56,26.91,0.0,6.08,5.58,90.0,0.0,0.0,0.0
2007-01-01T05:00:00,0.71,27.93,0.2,0.06,0.0,0.0,0.04,0.04,0.06,0.0,0.0,0.01,0.01,0.01,0.27,27.93,4.37453,0.26039,4.11413,0.00306,0.00049,0.00258,0.0003,0.00028,2.0e-05,0.03,0.01,0.33,0.11,18.0,0.0,0.3,2.2,2.24,0.3,3.05,0.7,5.91,-0.98,-2.35,7.23,1.68,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,68.0,121.24,26.91,0.0,8.6,7.83,86.0,0.0,0.0,0.0
2007-01-01T06:00:00,1.12,26.84,0.19,0.06,0.0,0.33,0.12,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.28,26.84,4.35689,0.40324,3.95365,0.00326,0.00078,0.00247,0.00046,0.00045,2.0e-05,0.05,0.05,1.11,0.39,17.3,0.0,1.0,2.39,2.42,0.32,2.95,0.67,5.56,-1.02,-1.86,6.48,1.61,-2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,68.0,116.65,26.91,0.0,12.02,11.27,88.0,0.0,0.0,0.0
2007-01-01T07:00:00,1.75,25.65,0.18,0.06,0.0,0.72,0.28,0.03,0.06,0.01,0.01,0.03,0.03,0.02,0.31,25.65,4.42506,0.64661,3.77845,0.00358,0.00122,0.00237,0.00071,0.0007,2.0e-05,0.1,0.09,2.55,0.9,16.53,0.0,2.27,2.51,2.56,0.34,2.9,0.64,5.36,-0.99,-1.39,5.97,1.5,-2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,68.0,113.21,26.91,0.0,14.54,13.45,84.0,0.0,0.0,0.0
2007-01-01T08:00:00,1.94,23.92,0.16,0.06,0.0,0.73,0.35,0.03,0.06,0.01,0.01,0.06,0.06,0.03,0.35,23.92,4.23357,0.71089,3.52269,0.00355,0.00135,0.0022,0.00078,0.00077,1.0e-05,0.22,0.15,2.84,1.0,15.41,0.0,2.63,2.62,2.67,0.36,2.86,0.61,4.71,-0.96,-0.93,5.29,1.42,-3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,68.0,108.58,26.91,0.0,18.14,16.75,82.0,3.13,2.54,5.39
2007-01-01T09:00:00,2.22,20.97,0.1,0.06,0.0,0.94,0.38,0.03,0.06,0.02,0.02,0.1,0.06,0.04,0.36,20.97,3.7663,0.67801,3.08829,0.00345,0.00152,0.00193,0.00088,0.00087,1.0e-05,0.33,0.27,2.62,0.92,13.51,0.0,2.58,3.05,2.89,0.36,2.81,0.57,1.72,-0.94,0.16,4.71,1.31,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78,68.0,103.9,26.91,0.0,21.38,19.66,80.0,2.91,24.41,23.14
