Coeff Heating a,1.0943
Coeff Heating b,0.403
Coeff Cooling a,3.809
Coeff Cooling b,0.0
Coeff Hot Water a,0.92
Coeff Hot Water b,0.0
DSE_r Heating,0.805
DSE_r Cooling,0.4518
DSE_r Hot Water,0.9901
EEC_x Heating,1.0526
EEC_x Cooling,0.2625
EEC_x Hot Water,1.0753
EEC_r Heating,1.2821
EEC_r Cooling,0.2625
EEC_r Hot Water,1.087
nEC_x Heating,18.4761
nEC_x Cooling,2.875
nEC_x Hot Water,10.8628
nMEUL Heating,11.6006
nMEUL Cooling,4.9479
nMEUL Hot Water,9.8945
nMEUL Vent Preheat,0.0
nMEUL Vent Precool,0.0
IAF CFA,0.9923
IAF NBR,1.0
IAF NS,1.0182
IAF RH,1.0103
Total Loads TnML,48.7309
Total Loads TRL,71.6986
Total Loads TRL*IAF,72.4382
ERI,67.27

Ref Home CFA,2700.0
Ref Home Nbr,3
Ref Home NS,1.0
Ref dehumid,0
Ref L&A resMELs,8.37
Ref L&A intLgt,8.92
Ref L&A extLgt,0.8
Ref L&A Fridg,2.36
Ref L&A TVs,2.11
Ref L&A R/O,1.53
Ref L&A cDryer,2.51
Ref L&A dWash,0.45
Ref L&A cWash,0.34
Ref L&A mechV,1.04
Ref L&A ceilFan,0.0
Ref L&A total,28.44
