Time,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Television,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,Emissions: CO2e: RESNET: Total,Emissions: CO2e: RESNET: Electricity,Emissions: CO2e: RESNET: Natural Gas,Emissions: NOx: RESNET: Total,Emissions: NOx: RESNET: Electricity,Emissions: NOx: RESNET: Natural Gas,Emissions: SO2: RESNET: Total,Emissions: SO2: RESNET: Electricity,Emissions: SO2: RESNET: Natural Gas,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Component Load: Heating: Ceilings,Component Load: Heating: Walls,Component Load: Heating: Rim Joists,Component Load: Heating: Foundation Walls,Component Load: Heating: Doors,Component Load: Heating: Windows,Component Load: Heating: Slabs,Component Load: Heating: Internal Mass,Component Load: Heating: Infiltration,Component Load: Heating: Mechanical Ventilation,Component Load: Heating: Internal Gains,Component Load: Cooling: Ceilings,Component Load: Cooling: Walls,Component Load: Cooling: Rim Joists,Component Load: Cooling: Foundation Walls,Component Load: Cooling: Doors,Component Load: Cooling: Windows,Component Load: Cooling: Slabs,Component Load: Cooling: Internal Mass,Component Load: Cooling: Infiltration,Component Load: Cooling: Natural Ventilation,Component Load: Cooling: Mechanical Ventilation,Component Load: Cooling: Internal Gains,Temperature: Attic - Vented,Temperature: Living Space,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,0.84,23.79,0.2,0.06,0.0,0.0,0.1,0.04,0.03,0.06,0.01,0.0,0.02,0.01,0.03,0.29,23.79,3.82388,0.32023,3.50366,0.00279,0.0006,0.00219,0.00036,0.00034,1.0e-05,0.04,0.07,0.39,0.14,15.33,0.0,0.4,1.05,1.38,0.13,4.17,0.66,6.95,0.07,-7.18,9.34,1.1,-2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46,68.0,132.89,26.91,0.0,-0.4,-0.97,85.0,0.0,0.0,0.0
2007-01-01T02:00:00,0.77,26.82,0.21,0.06,0.0,0.0,0.06,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.28,26.82,4.24676,0.29665,3.95011,0.00302,0.00054,0.00247,0.00033,0.00031,2.0e-05,0.03,0.03,0.2,0.07,17.28,0.0,0.21,1.4,1.58,0.18,3.76,0.73,6.55,-0.39,-4.99,8.71,1.84,-2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,68.0,129.68,26.91,0.0,2.12,1.4,83.0,0.0,0.0,0.0
2007-01-01T03:00:00,1.05,27.54,0.21,0.06,0.0,0.32,0.04,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.27,27.54,4.45803,0.40078,4.05725,0.00328,0.00074,0.00254,0.00044,0.00042,2.0e-05,0.02,0.02,0.13,0.05,17.75,0.0,0.14,1.69,1.8,0.22,3.42,0.73,6.34,-0.71,-3.69,8.15,1.75,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,68.0,126.67,26.91,0.0,4.46,3.76,85.0,0.0,0.0,0.0
2007-01-01T04:00:00,0.72,28.02,0.21,0.06,0.0,0.0,0.04,0.04,0.03,0.06,0.0,0.0,0.0,0.01,0.01,0.26,28.02,4.40022,0.27302,4.1272,0.00309,0.0005,0.00258,0.0003,0.00029,2.0e-05,0.02,0.01,0.16,0.06,18.06,0.0,0.16,1.96,2.03,0.26,3.2,0.72,6.17,-0.89,-2.93,7.76,1.68,-1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,68.0,124.56,26.91,0.0,6.08,5.58,90.0,0.0,0.0,0.0
2007-01-01T05:00:00,0.74,27.82,0.2,0.06,0.0,0.0,0.04,0.04,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.27,27.82,4.37166,0.27309,4.09857,0.00308,0.00051,0.00257,0.00031,0.00029,2.0e-05,0.03,0.01,0.33,0.11,17.93,0.0,0.3,2.2,2.24,0.3,3.05,0.7,5.91,-0.98,-2.36,7.23,1.62,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,68.0,121.24,26.91,0.0,8.6,7.83,86.0,0.0,0.0,0.0
2007-01-01T06:00:00,1.16,26.74,0.19,0.06,0.0,0.33,0.12,0.03,0.03,0.06,0.0,0.0,0.01,0.01,0.01,0.28,26.74,4.35405,0.41554,3.93852,0.00327,0.00081,0.00247,0.00048,0.00046,2.0e-05,0.05,0.05,1.11,0.39,17.23,0.0,1.0,2.39,2.42,0.32,2.95,0.67,5.56,-1.02,-1.86,6.48,1.55,-2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,68.0,116.65,26.91,0.0,12.02,11.27,88.0,0.0,0.0,0.0
2007-01-01T07:00:00,1.78,25.55,0.18,0.06,0.0,0.72,0.28,0.03,0.03,0.06,0.01,0.01,0.03,0.03,0.02,0.31,25.55,4.42286,0.65929,3.76357,0.0036,0.00124,0.00236,0.00072,0.00071,2.0e-05,0.1,0.09,2.55,0.9,16.47,0.0,2.27,2.51,2.56,0.34,2.9,0.64,5.36,-0.99,-1.4,5.97,1.44,-2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,68.0,113.21,26.91,0.0,14.54,13.45,84.0,0.0,0.0,0.0
2007-01-01T08:00:00,1.98,23.82,0.16,0.06,0.0,0.73,0.35,0.03,0.03,0.06,0.01,0.01,0.06,0.06,0.03,0.35,23.82,4.23151,0.72347,3.50804,0.00357,0.00137,0.0022,0.0008,0.00078,1.0e-05,0.22,0.15,2.84,1.0,15.35,0.0,2.63,2.62,2.67,0.36,2.86,0.61,4.71,-0.96,-0.93,5.29,1.36,-3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,68.0,108.58,26.91,0.0,18.14,16.75,82.0,3.13,2.54,5.39
2007-01-01T09:00:00,2.25,20.87,0.1,0.06,0.0,0.94,0.38,0.03,0.03,0.06,0.02,0.02,0.1,0.06,0.04,0.36,20.87,3.76248,0.68865,3.07383,0.00347,0.00155,0.00192,0.0009,0.00088,1.0e-05,0.33,0.27,2.62,0.92,13.45,0.0,2.58,3.05,2.89,0.36,2.81,0.57,1.72,-0.94,0.15,4.71,1.25,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78,68.0,103.9,26.91,0.0,21.38,19.66,80.0,2.91,24.41,23.14
