Time,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Television,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,Emissions: CO2: RESNET: Total,Emissions: CO2: RESNET: Electricity,Emissions: CO2: RESNET: Natural Gas,Emissions: NOx: RESNET: Total,Emissions: NOx: RESNET: Electricity,Emissions: NOx: RESNET: Natural Gas,Emissions: SO2: RESNET: Total,Emissions: SO2: RESNET: Electricity,Emissions: SO2: RESNET: Natural Gas,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Component Load: Heating: Ceilings,Component Load: Heating: Walls,Component Load: Heating: Rim Joists,Component Load: Heating: Foundation Walls,Component Load: Heating: Doors,Component Load: Heating: Windows,Component Load: Heating: Slabs,Component Load: Heating: Internal Mass,Component Load: Heating: Infiltration,Component Load: Heating: Mechanical Ventilation,Component Load: Heating: Internal Gains,Component Load: Cooling: Ceilings,Component Load: Cooling: Walls,Component Load: Cooling: Rim Joists,Component Load: Cooling: Foundation Walls,Component Load: Cooling: Doors,Component Load: Cooling: Windows,Component Load: Cooling: Slabs,Component Load: Cooling: Internal Mass,Component Load: Cooling: Infiltration,Component Load: Cooling: Natural Ventilation,Component Load: Cooling: Mechanical Ventilation,Component Load: Cooling: Internal Gains,Temperature: Attic - Vented,Temperature: Living Space,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,0.56,0.0,0.04,0.05,0.0,0.0,0.04,0.04,0.04,0.04,0.01,0.0,0.02,0.01,0.03,0.29,0.0,0.5705,0.5705,0.0,0.00042,0.00042,0.0,0.00024,0.00024,0.0,0.04,0.03,0.39,0.14,0.0,0.0,0.38,0.75,1.42,0.18,-2.74,0.31,4.7,2.7,-5.53,1.41,4.38,-2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,66.72,20.46,99.59,0.0,-0.4,-0.97,85.0,0.0,0.0,0.0
2007-01-01T02:00:00,0.54,4.5,0.06,0.05,0.0,0.0,0.02,0.04,0.04,0.04,0.0,0.0,0.01,0.01,0.01,0.28,4.5,1.0494,0.51994,0.52946,0.00081,0.00039,0.00042,0.00023,0.00022,0.0,0.03,0.01,0.19,0.07,4.46,0.0,0.19,0.48,1.2,0.18,-2.8,0.34,4.26,2.41,-6.38,1.25,7.06,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,66.01,19.13,99.59,0.0,2.12,1.4,83.0,0.0,0.0,0.0
2007-01-01T03:00:00,0.52,6.28,0.07,0.05,0.0,0.0,0.02,0.04,0.04,0.04,0.0,0.0,0.01,0.01,0.01,0.27,6.28,1.24038,0.50217,0.73821,0.00095,0.00038,0.00058,0.00022,0.00021,0.0,0.02,0.01,0.13,0.05,6.16,0.0,0.13,0.67,1.34,0.2,-2.74,0.36,4.11,1.96,-5.72,1.13,6.58,-1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,66.0,18.17,99.59,0.0,4.46,3.76,85.0,0.0,0.0,0.0
2007-01-01T04:00:00,0.84,7.59,0.08,0.05,0.0,0.32,0.02,0.04,0.04,0.04,0.0,0.0,0.0,0.01,0.01,0.26,7.59,1.67242,0.77957,0.89285,0.00129,0.00059,0.0007,0.00034,0.00034,0.0,0.02,0.01,0.16,0.06,7.45,0.0,0.15,1.06,1.65,0.23,-2.5,0.37,4.03,1.54,-4.42,1.06,6.23,-1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,66.0,17.65,99.59,0.0,6.08,5.58,90.0,0.0,0.0,0.0
2007-01-01T05:00:00,0.55,8.59,0.08,0.05,0.0,0.0,0.02,0.04,0.04,0.03,0.0,0.0,0.01,0.01,0.01,0.27,8.59,1.52358,0.51344,1.01014,0.00118,0.00039,0.00079,0.00023,0.00022,1.0e-05,0.03,0.01,0.33,0.11,8.43,0.0,0.3,1.37,1.91,0.26,-2.31,0.37,3.86,1.29,-3.52,0.97,6.02,-1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,66.0,16.85,99.59,0.0,8.6,7.83,86.0,0.0,0.0,0.0
2007-01-01T06:00:00,0.94,9.02,0.15,0.05,0.0,0.33,0.05,0.03,0.04,0.03,0.0,0.0,0.01,0.01,0.01,0.28,9.02,1.96712,0.90579,1.06133,0.00153,0.0007,0.00083,0.00041,0.0004,1.0e-05,0.05,0.02,1.11,0.39,8.85,0.0,0.98,1.62,2.13,0.28,-2.12,0.36,3.63,1.12,-2.86,0.84,5.76,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,66.0,15.76,99.59,0.0,12.02,11.27,88.0,0.0,0.0,0.0
2007-01-01T07:00:00,1.54,15.99,0.12,0.05,0.0,0.71,0.12,0.03,0.04,0.04,0.01,0.01,0.03,0.03,0.02,0.31,15.99,3.26547,1.38536,1.8801,0.00253,0.00106,0.00147,0.00061,0.00061,1.0e-05,0.1,0.04,2.55,0.9,15.26,0.0,2.24,1.81,2.3,0.3,-1.92,0.35,3.49,1.0,-2.34,0.79,5.34,-2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,67.88,14.96,99.59,0.0,14.54,13.45,84.0,0.0,0.0,0.0
2007-01-01T08:00:00,1.68,13.08,0.11,0.05,0.0,0.73,0.15,0.03,0.04,0.04,0.01,0.01,0.06,0.06,0.03,0.35,13.08,2.95314,1.41449,1.53865,0.00237,0.00117,0.00121,0.00067,0.00067,1.0e-05,0.22,0.07,2.84,1.0,12.82,0.0,2.58,2.72,2.97,0.36,-1.09,0.35,3.21,0.47,0.82,0.71,5.06,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,67.99,14.5,99.59,0.0,18.14,16.75,82.0,3.13,2.54,5.39
2007-01-01T09:00:00,1.74,11.77,0.07,0.05,0.0,0.73,0.16,0.03,0.04,0.04,0.02,0.02,0.1,0.06,0.04,0.36,11.77,2.60855,1.22475,1.3838,0.00228,0.00119,0.00108,0.00069,0.00068,1.0e-05,0.33,0.12,2.61,0.92,11.54,0.0,2.49,2.85,3.07,0.35,-0.95,0.32,0.71,0.57,1.26,0.61,4.85,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05,68.0,13.49,99.59,0.0,21.38,19.66,80.0,2.91,24.41,23.14
