eGRID subregion acronym,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2
AKGD,1114.4,0.098,0.013,1120.8,6.2,6.1,0.7
AKMS,549.3,0.026,0.004,551.3,8.1,7.8,0.7
AZNM,952.3,0.068,0.01,956.9,0.6,0.6,0.2
CAMX,453.2,0.033,0.004,455.3,0.4,0.4,0
ERCT,868.6,0.057,0.008,872.4,0.5,0.5,0.6
FRCC,861,0.055,0.007,864.5,0.3,0.3,0.2
HIMS,1185.6,0.143,0.022,1195.6,8.1,8.4,4.1
HIOA,1694.5,0.185,0.028,1707.6,3.7,4.1,7
MROE,1502.6,0.147,0.022,1512.6,0.8,0.9,0.4
MROW,1098.4,0.119,0.017,1106.4,0.8,0.8,1.1
NEWE,488.9,0.077,0.01,493.8,0.3,0.3,0.1
NWPP,715.2,0.068,0.01,719.9,0.6,0.6,0.4
NYCW,553.8,0.021,0.002,555.1,0.2,0.2,0
NYLI,1209.0,0.157,0.02,1218.9,0.9,0.9,0.2
NYUP,232.3,0.017,0.002,233,0.1,0.1,0
PRMS,1537.3,0.084,0.013,1543.3,3.5,3.9,3.2
RFCE,695,0.053,0.007,698.5,0.3,0.3,0.3
RFCM,1189.3,0.114,0.016,1197.0,0.7,0.7,1
RFCW,1067.7,0.099,0.014,1074.4,0.8,0.6,0.7
RMPA,1242.6,0.117,0.017,1250.6,0.7,0.6,0.4
SPNO,1070.0,0.112,0.016,1077.6,0.6,0.6,0.2
SPSO,1002.0,0.07,0.01,1006.7,0.7,0.8,0.8
SRMV,806.8,0.043,0.006,809.6,0.6,0.6,0.7
SRMW,1584.4,0.169,0.025,1595.9,1,0.8,2.4
SRSO,969.2,0.071,0.01,974,0.4,0.4,0.2
SRTV,949.7,0.087,0.013,955.6,0.5,0.5,0.6
SRVC,675.4,0.058,0.008,679.1,0.3,0.4,0.2
U.S.,884.2,0.075,0.011,889.2,0.6,0.6,0.5
