epwfilename,latitude,longitude
USA_AK_Adak.NAS.704540_TMY3.epw,51.88,-176.65
USA_AK_Ambler.701718_TMY3.epw,67.10,-157.85
USA_AK_Anaktuvuk.Pass.701625_TMY3.epw,68.13,-151.73
USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.epw,61.25,-149.80
USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.epw,61.18,-149.97
USA_AK_Anchorage-Merrill.Field.702735_TMY3.epw,61.22,-149.85
USA_AK_Anchorage.Intl.AP.702730_TMY3.epw,61.18,-150.00
USA_AK_Aniak.AP.702320_TMY3.epw,61.58,-159.53
USA_AK_Annette.Island.AP.703980_TMY3.epw,55.05,-131.57
USA_AK_Anvik.702075_TMY3.epw,62.65,-160.18
USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.epw,71.32,-156.62
USA_AK_Bethel.AP.702190_TMY3.epw,60.78,-161.83
USA_AK_Bettles.Field.701740_TMY3.epw,66.92,-151.52
USA_AK_Big.Delta-Allen.AAF.702670_TMY3.epw,64.00,-145.72
USA_AK_Big.River.Lake.702986_TMY3.epw,60.82,-152.30
USA_AK_Birchwood.702746_TMY3.epw,61.42,-149.52
USA_AK_Chulitna.702606_TMY3.epw,62.88,-149.83
USA_AK_Cold.Bay.AP.703160_TMY3.epw,55.20,-162.72
USA_AK_Cordova.702960_TMY3.epw,60.50,-145.50
USA_AK_Deadhorse.700637_TMY3.epw,70.20,-148.48
USA_AK_Dillingham.AWOS.703210_TMY3.epw,59.05,-158.52
USA_AK_Eielson.AFB.702650_TMY3.epw,64.65,-147.10
USA_AK_Emmonak.702084_TMY3.epw,62.78,-164.50
USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,64.82,-147.85
USA_AK_Fort.Yukon.701940_TMY3.epw,66.57,-145.27
USA_AK_Gambell.702040_TMY3.epw,63.78,-171.75
USA_AK_Gulkana.702710_TMY3.epw,62.15,-145.45
USA_AK_Gustavus.703670_TMY3.epw,58.42,-135.70
USA_AK_Hayes.River.702495_TMY3.epw,61.98,-152.08
USA_AK_Healy.River.AP.702647_TMY3.epw,63.88,-149.02
USA_AK_Homer.AP.703410_TMY3.epw,59.65,-151.48
USA_AK_Hoonah.702607_TMY3.epw,58.08,-135.45
USA_AK_Hooper.Bay.702186_TMY3.epw,61.52,-166.15
USA_AK_Huslia.702225_TMY3.epw,65.70,-156.38
USA_AK_Hydaburg.Seaplane.Base.703884_TMY3.epw,55.20,-132.83
USA_AK_Iliamna.AP.703400_TMY3.epw,59.75,-154.92
USA_AK_Juneau.Intl.AP.703810_TMY3.epw,58.35,-134.58
USA_AK_Kake.Seaplane.Base.703855_TMY3.epw,56.97,-133.95
USA_AK_Kenai.Muni.AP.702590_TMY3.epw,60.58,-151.23
USA_AK_Ketchikan.Intl.AP.703950_TMY3.epw,55.37,-131.72
USA_AK_King.Salmon.AP.703260_TMY3.epw,58.68,-156.65
USA_AK_Kodiak.AP.703500_TMY3.epw,57.75,-152.50
USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.epw,66.88,-162.60
USA_AK_McGrath.AP.702310_TMY3.epw,62.95,-155.60
USA_AK_Mekoryuk.702185_TMY3.epw,60.37,-166.27
USA_AK_Middleton.Island.703430_TMY3.epw,59.47,-146.32
USA_AK_Minchumina.702460_TMY3.epw,63.88,-152.28
USA_AK_Nenana.Muni.AP.702600_TMY3.epw,64.55,-149.10
USA_AK_Nome.Muni.AP.702000_TMY3.epw,64.52,-165.45
USA_AK_Northway.AP.702910_TMY3.epw,62.97,-141.93
USA_AK_Palmer.Muni.AP.702740_TMY3.epw,61.60,-149.08
USA_AK_Petersburg.703860_TMY3.epw,56.80,-132.95
USA_AK_Point.Hope.AWOS.701043_TMY3.epw,68.35,-166.80
USA_AK_Port.Heiden.703330_TMY3.epw,56.95,-158.62
USA_AK_Saint.Marys.AWOS.702005_TMY3.epw,62.07,-163.30
USA_AK_Sand.Point.703165_TMY3.epw,55.32,-160.52
USA_AK_Savoonga.702035_TMY3.epw,63.68,-170.50
USA_AK_Selawik.700197_TMY3.epw,66.60,-160.00
USA_AK_Seward.702770_TMY3.epw,60.12,-149.45
USA_AK_Shemya.AFB.704140_TMY3.epw,52.72,174.12
USA_AK_Shishmaref.AWOS.701195_TMY3.epw,66.27,-166.05
USA_AK_Sitka-Japonski.Island.AP.703710_TMY3.epw,57.05,-135.37
USA_AK_Skagway.AP.703620_TMY3.epw,59.47,-135.30
USA_AK_Sleetmute.703407_TMY3.epw,61.72,-157.15
USA_AK_Soldotna.702595_TMY3.epw,60.47,-151.03
USA_AK_St.Paul.Island.AP.703080_TMY3.epw,57.17,-170.22
USA_AK_Talkeetna.State.AP.702510_TMY3.epw,62.32,-150.10
USA_AK_Tanana-Ralph.Calhoun.AP.701780_TMY3.epw,65.17,-152.10
USA_AK_Togiak.Village.AWOS.703606_TMY3.epw,59.05,-160.40
USA_AK_Unalakleet.Field.702070_TMY3.epw,63.88,-160.80
USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.epw,53.90,-166.55
USA_AK_Valdez-Pioneer.Field.702756_TMY3.epw,61.13,-146.27
USA_AK_Valdez.702750_TMY3.epw,61.13,-146.35
USA_AK_Whittier.702757_TMY3.epw,60.77,-148.68
USA_AK_Wrangell.703870_TMY3.epw,56.48,-132.37
USA_AK_Yakutat.State.AP.703610_TMY3.epw,59.52,-139.63
USA_AL_Anniston.Metro.AP.722287_TMY3.epw,33.58,-85.85
