Hour,Electricity Use [kWh],Natural Gas Use [kBtu],Propane Use [kBtu],Fuel Oil Use [kBtu],Living Temperature [F],Unvented Attic Temperature [F]
1,0.62,0.0,0.0,0.0,68.86,18.12
2,0.56,0.0,0.0,0.0,68.24,13.5
3,0.54,0.57,0.0,0.0,68.0,9.77
4,0.53,2.01,0.0,0.0,68.0,7.16
5,0.51,2.85,0.0,0.0,68.0,5.63
6,0.6,3.1,0.0,0.0,68.0,5.05
7,0.81,3.14,0.0,0.0,68.0,5.13
8,0.96,2.95,0.0,0.0,68.0,6.6
9,2.94,2.7,0.0,0.0,68.0,9.98
10,0.72,1.38,0.0,0.0,68.0,14.86
11,0.86,0.07,0.0,0.0,68.0,20.19
12,0.88,0.0,0.0,0.0,68.1,25.63
13,1.19,0.09,0.0,0.0,68.0,31.4
14,0.84,0.78,0.0,0.0,68.0,34.87
15,1.21,0.69,0.0,0.0,68.0,36.82
16,1.29,0.92,0.0,0.0,68.0,37.16
17,1.06,1.67,0.0,0.0,68.0,35.05
18,1.74,2.86,0.0,0.0,68.0,32.27
19,3.69,3.96,0.0,0.0,68.0,29.79
20,1.6,4.09,0.0,0.0,68.0,27.38
21,1.43,3.96,0.0,0.0,68.0,24.95
22,1.33,4.28,0.0,0.0,68.0,22.9
23,1.46,4.88,0.0,0.0,68.0,21.69
24,0.84,6.58,0.0,0.0,68.0,21.8
25,0.66,7.22,0.0,0.0,68.0,22.64
26,0.6,7.16,0.0,0.0,68.0,22.92
27,0.57,7.19,0.0,0.0,68.0,22.92
28,0.56,7.84,0.0,0.0,68.0,22.51
29,0.53,7.0,0.0,0.0,68.0,21.89
30,0.62,7.04,0.0,0.0,68.0,21.06
31,0.83,6.4,0.0,0.0,68.0,20.82
32,1.31,5.57,0.0,0.0,68.0,20.87
33,0.88,5.31,0.0,0.0,68.0,22.29
34,1.2,3.88,0.0,0.0,68.0,25.85
35,1.18,2.38,0.0,0.0,68.0,30.17
36,0.86,1.28,0.0,0.0,68.0,34.96
37,1.18,0.95,0.0,0.0,68.0,39.64
38,0.84,0.97,0.0,0.0,68.0,44.09
39,0.83,0.65,0.0,0.0,68.0,47.38
40,1.23,1.18,0.0,0.0,68.0,47.75
41,1.06,1.5,0.0,0.0,68.0,45.8
42,1.39,1.79,0.0,0.0,68.0,42.74
43,1.53,2.58,0.0,0.0,68.0,39.8
44,1.82,3.09,0.0,0.0,68.0,36.82
45,1.42,3.88,0.0,0.0,68.0,34.03
46,1.33,3.75,0.0,0.0,68.0,31.71
47,1.14,3.55,0.0,0.0,68.0,29.45
48,2.09,4.46,0.0,0.0,68.0,28.1
49,0.56,5.08,0.0,0.0,68.0,27.71
50,0.59,5.71,0.0,0.0,68.0,27.74
51,0.57,6.13,0.0,0.0,68.0,27.79
52,0.87,6.69,0.0,0.0,68.0,27.64
53,0.51,7.1,0.0,0.0,68.0,27.49
54,0.62,7.28,0.0,0.0,68.0,27.73
55,0.83,6.69,0.0,0.0,68.0,28.15
56,0.98,6.65,0.0,0.0,68.0,28.65
57,0.91,5.09,0.0,0.0,68.0,30.49
58,4.06,4.79,0.0,0.0,68.0,33.96
59,3.26,3.53,0.0,0.0,68.0,37.02
60,0.83,3.23,0.0,0.0,68.0,39.08
61,0.87,3.62,0.0,0.0,68.0,40.7
62,0.88,4.56,0.0,0.0,68.0,41.38
63,0.9,4.06,0.0,0.0,68.0,40.86
64,0.93,4.99,0.0,0.0,68.0,39.04
65,1.1,5.64,0.0,0.0,68.0,36.27
66,1.74,6.23,0.0,0.0,68.0,32.6
67,1.86,6.01,0.0,0.0,68.0,29.26
68,4.05,6.11,0.0,0.0,68.0,26.18
69,1.51,7.36,0.0,0.0,68.0,23.29
70,1.34,8.27,0.0,0.0,68.0,20.9
71,1.17,9.45,0.0,0.0,68.0,18.73
72,1.21,10.53,0.0,0.0,68.0,17.06
73,0.66,11.53,0.0,0.0,68.0,15.52
74,0.63,13.2,0.0,0.0,68.0,13.61
75,0.61,13.78,0.0,0.0,68.0,11.88
76,0.59,13.64,0.0,0.0,68.0,10.62
77,0.89,13.64,0.0,0.0,68.0,9.63
78,0.63,13.34,0.0,0.0,68.0,8.86
79,0.86,12.52,0.0,0.0,68.0,7.88
80,1.34,11.11,0.0,0.0,68.0,7.42
81,3.54,10.38,0.0,0.0,68.0,8.59
82,1.38,8.25,0.0,0.0,68.0,13.3
83,0.85,6.79,0.0,0.0,68.0,21.49
84,2.35,6.42,0.0,0.0,68.0,29.51
85,0.95,5.28,0.0,0.0,68.0,36.69
86,0.87,4.69,0.0,0.0,68.0,41.73
87,0.85,4.06,0.0,0.0,68.0,45.29
88,1.2,4.65,0.0,0.0,68.0,47.03
89,1.07,4.16,0.0,0.0,68.0,46.64
90,1.48,3.71,0.0,0.0,68.0,44.68
91,1.77,3.49,0.0,0.0,68.0,42.84
92,2.07,3.14,0.0,0.0,68.0,41.6
93,1.51,3.39,0.0,0.0,68.0,40.74
94,1.32,3.45,0.0,0.0,68.0,39.87
95,1.47,3.88,0.0,0.0,68.0,38.84
96,0.78,3.62,0.0,0.0,68.0,39.52
97,0.65,4.66,0.0,0.0,68.0,39.74
98,0.53,3.89,0.0,0.0,68.0,40.62
99,0.51,3.81,0.0,0.0,68.0,42.41
100,0.54,3.95,0.0,0.0,68.0,43.48
101,0.52,3.82,0.0,0.0,68.0,43.34
102,2.0,3.71,0.0,0.0,68.0,43.07
103,2.93,4.99,0.0,0.0,68.0,42.07
104,1.08,3.02,0.0,0.0,68.0,41.34
105,0.87,2.72,0.0,0.0,68.0,41.63
106,0.79,1.57,0.0,0.0,68.0,43.79
107,6.39,2.19,0.0,0.0,68.0,46.7
108,2.43,0.38,0.0,0.0,68.0,49.94
109,1.01,0.02,0.0,0.0,68.0,52.1
110,1.11,0.04,0.0,0.0,68.0,52.71
111,0.81,0.53,0.0,0.0,68.0,51.78
112,0.9,1.04,0.0,0.0,68.0,49.46
113,1.08,2.0,0.0,0.0,68.0,46.96
114,1.89,2.11,0.0,0.0,68.0,44.42
115,1.67,2.5,0.0,0.0,68.0,42.02
116,1.93,2.81,0.0,0.0,68.0,39.97
117,1.79,3.62,0.0,0.0,68.0,38.11
118,2.15,4.02,0.0,0.0,68.0,36.1
119,1.09,4.36,0.0,0.0,68.0,34.15
120,1.17,5.16,0.0,0.0,68.0,32.77
121,0.63,5.76,0.0,0.0,68.0,32.25
122,1.22,5.89,0.0,0.0,68.0,32.41
123,0.59,6.02,0.0,0.0,68.0,32.51
124,0.55,6.51,0.0,0.0,68.0,32.28
125,0.53,6.76,0.0,0.0,68.0,31.2
126,5.05,7.56,0.0,0.0,68.0,30.02
127,0.62,7.14,0.0,0.0,68.0,29.62
128,0.98,7.14,0.0,0.0,68.0,29.53
129,0.91,6.53,0.0,0.0,68.0,29.87
130,1.56,5.96,0.0,0.0,68.0,31.02
131,0.84,5.12,0.0,0.0,68.0,31.7
132,1.49,4.21,0.0,0.0,68.0,32.36
133,2.8,4.51,0.0,0.0,68.0,33.56
134,1.5,4.81,0.0,0.0,68.0,34.41
135,0.86,4.93,0.0,0.0,68.0,34.69
136,1.25,5.13,0.0,0.0,68.0,34.4
137,1.08,6.41,0.0,0.0,68.0,33.37
138,1.76,5.98,0.0,0.0,68.0,31.92
139,2.96,6.32,0.0,0.0,68.0,29.89
140,1.93,7.06,0.0,0.0,68.0,28.12
141,2.21,7.09,0.0,0.0,68.0,26.21
142,6.94,8.31,0.0,0.0,68.0,24.2
143,0.91,8.83,0.0,0.0,68.0,22.91
144,1.19,9.92,0.0,0.0,68.0,21.87
145,0.66,10.71,0.0,0.0,68.0,21.1
146,0.62,10.61,0.0,0.0,68.0,20.65
147,0.6,11.9,0.0,0.0,68.0,19.79
148,1.33,12.81,0.0,0.0,68.0,18.49
149,3.59,14.27,0.0,0.0,68.0,16.68
150,0.67,13.8,0.0,0.0,68.0,15.55
151,2.12,13.78,0.0,0.0,68.0,14.79
152,1.24,9.86,0.0,0.0,68.0,16.73
153,0.91,8.99,0.0,0.0,68.0,20.78
154,1.7,8.33,0.0,0.0,68.0,25.41
155,1.11,7.41,0.0,0.0,68.0,29.79
156,0.9,6.55,0.0,0.0,68.0,34.13
157,1.27,6.14,0.0,0.0,68.0,37.94
158,0.87,6.06,0.0,0.0,68.0,40.68
159,0.91,5.98,0.0,0.0,68.0,42.32
160,0.93,5.96,0.0,0.0,68.0,42.14
161,2.53,5.91,0.0,0.0,68.0,41.38
162,2.27,5.09,0.0,0.0,68.0,40.79
