Hour,Electricity Use [kWh],Natural Gas Use [kBtu],Fuel Oil Use [kBtu],Propane Use [kBtu],Living Temperature [F],Vented Attic Temperature [F],Vented Crawlspace Temperature [F]
1,0.84,29.25,0.0,0.0,68.0,8.25,51.51
2,0.76,29.13,0.0,0.0,68.0,7.33,49.65
3,0.73,28.97,0.0,0.0,68.0,7.02,48.41
4,0.71,29.04,0.0,0.0,68.0,4.88,47.34
5,0.69,28.72,0.0,0.0,68.0,4.82,46.58
6,0.8,27.51,0.0,0.0,68.0,6.39,46.21
7,1.07,26.34,0.0,0.0,68.0,8.24,45.85
8,1.56,24.68,0.0,0.0,68.0,15.98,45.8
9,2.95,22.16,0.0,0.0,68.0,19.57,45.92
10,1.1,16.14,0.0,0.0,68.0,26.94,46.97
11,1.09,11.93,0.0,0.0,68.0,34.05,48.3
12,1.41,9.16,0.0,0.0,68.0,37.28,49.08
13,1.4,7.78,0.0,0.0,68.0,40.09,49.83
14,1.05,7.26,0.0,0.0,68.0,38.23,49.72
15,1.4,5.97,0.0,0.0,68.0,39.23,49.97
16,1.52,6.13,0.0,0.0,68.0,36.34,49.45
17,1.33,8.75,0.0,0.0,68.0,31.69,48.33
18,2.06,10.67,0.0,0.0,68.0,28.34,47.43
19,4.58,13.24,0.0,0.0,68.0,23.35,46.1
20,1.88,13.98,0.0,0.0,68.0,22.08,45.36
21,1.76,14.87,0.0,0.0,68.0,21.22,44.71
22,1.91,16.04,0.0,0.0,68.0,20.95,44.19
23,1.39,17.43,0.0,0.0,68.0,20.89,43.71
24,1.02,18.85,0.0,0.0,68.0,22.85,43.59
25,0.79,20.13,0.0,0.0,68.0,22.9,43.22
26,0.71,21.14,0.0,0.0,68.0,21.85,42.68
27,0.68,21.38,0.0,0.0,68.0,22.88,42.5
28,0.99,23.08,0.0,0.0,68.0,19.93,41.68
29,0.66,22.4,0.0,0.0,68.0,21.73,41.6
30,0.77,22.74,0.0,0.0,68.0,20.86,41.2
31,1.04,21.29,0.0,0.0,68.0,23.62,41.4
32,1.54,19.23,0.0,0.0,68.0,25.85,41.76
33,1.15,17.58,0.0,0.0,68.0,28.25,42.13
34,1.43,12.42,0.0,0.0,68.0,35.21,43.6
35,1.57,7.75,0.0,0.0,68.0,41.77,45.39
36,1.24,5.09,0.0,0.0,68.0,48.15,47.26
37,1.03,3.59,0.0,0.0,68.0,49.5,48.35
38,1.03,3.02,0.0,0.0,68.0,49.82,48.8
39,0.99,1.3,0.0,0.0,68.0,50.71,49.51
40,1.41,2.1,0.0,0.0,68.0,47.04,48.81
41,1.29,3.18,0.0,0.0,68.0,44.87,48.4
42,1.99,4.14,0.0,0.0,68.0,41.44,47.66
43,1.87,6.29,0.0,0.0,68.0,34.61,46.01
44,1.84,7.47,0.0,0.0,68.0,32.33,45.35
45,1.73,9.41,0.0,0.0,68.0,29.2,44.47
46,1.55,9.89,0.0,0.0,68.0,29.95,44.27
47,1.34,9.88,0.0,0.0,68.0,29.41,44.52
48,2.58,12.05,0.0,0.0,68.0,31.43,44.12
49,0.92,13.57,0.0,0.0,68.0,30.65,43.67
50,0.68,14.69,0.0,0.0,68.0,30.72,43.42
51,0.65,15.78,0.0,0.0,68.0,29.89,43.02
52,0.64,16.93,0.0,0.0,68.0,28.84,42.56
53,0.63,17.62,0.0,0.0,68.0,28.83,42.29
54,1.06,17.58,0.0,0.0,68.0,29.88,42.25
55,1.02,17.12,0.0,0.0,68.0,29.89,42.07
56,1.19,16.55,0.0,0.0,68.0,30.78,42.07
57,1.12,12.87,0.0,0.0,68.0,37.51,43.32
58,4.59,10.67,0.0,0.0,68.0,41.74,44.52
59,3.97,7.65,0.0,0.0,68.0,43.34,45.29
60,1.16,4.88,0.0,0.0,68.0,44.21,46.01
61,1.03,4.06,0.0,0.0,68.0,42.37,45.98
62,1.04,4.41,0.0,0.0,68.0,40.54,45.82
63,1.38,4.54,0.0,0.0,68.0,36.65,45.07
64,1.11,7.08,0.0,0.0,68.0,32.03,43.98
65,1.33,9.81,0.0,0.0,68.0,27.33,42.72
66,1.71,12.12,0.0,0.0,68.0,22.57,41.38
67,2.24,12.37,0.0,0.0,68.0,22.45,41.02
68,4.77,13.57,0.0,0.0,68.0,20.64,40.12
69,1.88,16.48,0.0,0.0,68.0,17.17,39.16
70,1.6,18.8,0.0,0.0,68.0,14.63,38.32
71,1.41,21.56,0.0,0.0,68.0,12.02,37.34
72,1.37,24.01,0.0,0.0,68.0,10.08,36.52
73,0.82,26.27,0.0,0.0,68.0,9.56,35.67
74,1.09,29.92,0.0,0.0,68.0,6.68,34.32
75,0.74,31.21,0.0,0.0,68.0,3.46,33.7
76,0.72,31.09,0.0,0.0,68.0,5.42,33.57
77,0.71,31.47,0.0,0.0,68.0,6.05,33.26
78,1.14,31.12,0.0,0.0,68.0,7.35,33.13
79,1.09,29.65,0.0,0.0,68.0,5.97,33.26
80,1.51,26.29,0.0,0.0,68.0,8.87,33.93
81,4.34,23.78,0.0,0.0,68.0,14.0,34.94
82,1.56,18.92,0.0,0.0,68.0,28.17,36.85
83,1.43,16.01,0.0,0.0,68.0,36.07,38.7
84,2.53,14.85,0.0,0.0,68.0,37.06,39.57
85,1.08,11.83,0.0,0.0,68.0,45.98,41.66
86,1.07,10.18,0.0,0.0,68.0,49.02,43.28
87,1.36,8.49,0.0,0.0,68.0,51.69,44.76
88,1.3,8.68,0.0,0.0,68.0,49.96,44.99
89,1.41,8.71,0.0,0.0,68.0,46.57,44.23
90,1.69,8.05,0.0,0.0,68.0,44.98,44.07
91,1.88,7.84,0.0,0.0,68.0,43.0,43.72
92,2.59,7.14,0.0,0.0,68.0,44.64,44.22
93,2.03,7.66,0.0,0.0,68.0,42.87,43.89
94,1.54,8.12,0.0,0.0,68.0,41.92,43.66
95,1.68,8.98,0.0,0.0,68.0,40.84,43.42
96,0.9,7.44,0.0,0.0,68.0,49.6,45.47
97,0.73,10.32,0.0,0.0,68.0,41.26,43.94
98,0.59,8.08,0.0,0.0,68.0,50.54,45.85
99,0.64,7.93,0.0,0.0,68.0,51.63,46.95
100,0.82,8.63,0.0,0.0,68.0,48.77,46.51
101,0.58,8.61,0.0,0.0,68.0,48.66,46.47
102,1.77,8.27,0.0,0.0,68.0,48.68,46.63
103,3.85,10.72,0.0,0.0,68.0,41.2,44.25
104,1.13,6.34,0.0,0.0,68.0,48.41,46.26
105,1.07,3.67,0.0,0.0,68.0,47.95,47.01
106,0.96,0.0,0.0,0.0,68.15,54.78,49.17
107,5.65,0.0,0.0,0.0,68.17,55.18,49.76
108,4.25,0.0,0.0,0.0,69.35,59.2,51.18
109,1.32,0.0,0.0,0.0,70.06,58.66,51.79
110,1.29,0.0,0.0,0.0,70.37,56.54,51.9
111,0.98,0.0,0.0,0.0,70.32,52.17,51.24
112,1.07,0.0,0.0,0.0,70.23,49.16,50.38
113,1.28,0.0,0.0,0.0,69.49,43.74,48.72
114,2.36,0.0,0.0,0.0,69.05,42.73,48.01
115,1.83,0.0,0.0,0.0,68.62,39.35,46.78
116,2.61,0.0,0.0,0.0,68.15,38.06,46.08
117,2.07,2.27,0.0,0.0,68.0,35.2,45.1
118,2.4,4.49,0.0,0.0,68.0,32.39,44.08
119,1.32,5.56,0.0,0.0,68.0,33.0,43.86
120,0.95,7.51,0.0,0.0,68.0,31.93,43.36
121,0.72,8.99,0.0,0.0,68.0,31.89,43.03
122,1.4,9.91,0.0,0.0,68.0,33.75,43.12
123,0.85,11.19,0.0,0.0,68.0,32.95,42.75
124,0.71,12.67,0.0,0.0,68.0,31.93,42.3
125,0.61,13.92,0.0,0.0,68.0,30.81,41.84
126,5.02,15.27,0.0,0.0,68.0,31.71,41.78
127,1.7,15.0,0.0,0.0,68.0,30.77,41.37
128,1.18,14.82,0.0,0.0,68.0,30.79,41.15
129,1.12,12.13,0.0,0.0,68.0,30.89,41.16
130,1.8,10.12,0.0,0.0,68.0,32.17,41.44
131,1.07,8.02,0.0,0.0,68.0,33.54,41.61
132,1.67,5.22,0.0,0.0,68.0,34.97,42.21
133,3.14,4.13,0.0,0.0,68.0,35.51,42.69
134,1.75,4.23,0.0,0.0,68.0,34.52,42.72
135,1.05,2.83,0.0,0.0,68.0,35.36,43.06
136,1.42,3.14,0.0,0.0,68.0,33.44,42.76
137,1.31,6.37,0.0,0.0,68.0,31.16,42.08
138,2.41,8.23,0.0,0.0,68.0,29.19,41.37
139,3.28,9.59,0.0,0.0,68.0,26.32,40.49
140,2.21,11.25,0.0,0.0,68.0,24.21,39.77
141,2.89,12.93,0.0,0.0,68.0,21.6,38.87
142,6.89,15.86,0.0,0.0,68.0,18.34,37.92
143,2.08,17.31,0.0,0.0,68.0,18.14,37.47
144,1.34,19.9,0.0,0.0,68.0,16.18,36.73
145,0.8,21.6,0.0,0.0,68.0,16.02,36.29
146,0.72,22.14,0.0,0.0,68.0,17.01,36.1
147,0.71,25.05,0.0,0.0,68.0,13.13,35.04
148,1.49,27.18,0.0,0.0,68.0,10.69,34.13
149,4.35,29.9,0.0,0.0,68.0,10.25,33.16
150,0.88,29.19,0.0,0.0,68.0,9.05,32.99
151,2.54,29.48,0.0,0.0,68.0,8.98,32.6
152,1.55,21.73,0.0,0.0,68.0,25.64,35.2
153,1.16,20.28,0.0,0.0,68.0,29.94,36.34
154,2.28,18.9,0.0,0.0,68.0,32.42,37.18
155,1.19,16.87,0.0,0.0,68.0,35.91,38.18
156,1.12,14.78,0.0,0.0,68.0,40.23,39.46
157,1.48,13.65,0.0,0.0,68.0,41.74,40.27
158,1.09,13.25,0.0,0.0,68.0,41.03,40.45
159,1.11,12.75,0.0,0.0,68.0,40.99,40.74
160,1.14,12.7,0.0,0.0,68.0,40.01,40.73
161,3.14,12.27,0.0,0.0,68.0,40.9,41.11
162,2.59,10.83,0.0,0.0,68.0,41.93,41.57
163,1.89,9.99,0.0,0.0,68.0,40.89,41.47
164,1.86,10.05,0.0,0.0,68.0,39.83,41.28
165,1.74,11.4,0.0,0.0,68.0,36.01,40.4
166,1.91,13.35,0.0,0.0,68.0,31.22,39.27
167,1.68,13.62,0.0,0.0,68.0,31.96,39.28
168,0.99,13.23,0.0,0.0,68.0,34.8,39.79
169,0.75,13.95,0.0,0.0,68.0,34.89,39.79
170,0.99,14.83,0.0,0.0,68.0,33.9,39.52
171,0.66,16.34,0.0,0.0,68.0,30.96,38.84
172,0.65,18.35,0.0,0.0,68.0,28.95,38.3
173,0.64,19.52,0.0,0.0,68.0,26.13,37.56
174,0.75,19.21,0.0,0.0,68.0,26.07,37.3
175,1.03,19.92,0.0,0.0,68.0,24.12,36.71
176,1.52,17.7,0.0,0.0,68.0,26.75,37.01
177,2.89,11.4,0.0,0.0,68.0,35.62,38.84
178,1.05,7.33,0.0,0.0,68.0,40.71,40.62
179,1.05,5.15,0.0,0.0,68.0,44.85,42.35
180,1.37,3.12,0.0,0.0,68.0,46.13,43.56
181,1.3,0.33,0.0,0.0,68.0,51.14,45.36
182,0.96,0.0,0.0,0.0,68.4,51.47,46.21
183,1.37,0.0,0.0,0.0,68.66,46.85,45.94
184,1.49,0.0,0.0,0.0,68.9,45.53,45.83
185,1.28,0.0,0.0,0.0,68.11,40.97,44.6
186,2.02,4.32,0.0,0.0,68.0,34.15,42.29
187,4.57,5.8,0.0,0.0,68.0,31.32,41.38
188,1.84,7.18,0.0,0.0,68.0,29.14,40.57
189,1.72,7.42,0.0,0.0,68.0,30.02,40.34
190,1.87,9.38,0.0,0.0,68.0,28.1,39.63
191,1.34,10.3,0.0,0.0,68.0,28.88,39.49
192,0.98,12.91,0.0,0.0,68.0,26.97,38.87
193,0.76,15.01,0.0,0.0,68.0,26.05,38.38
194,0.68,16.18,0.0,0.0,68.0,26.01,38.09
195,0.66,17.2,0.0,0.0,68.0,25.98,37.81
196,0.65,18.04,0.0,0.0,68.0,25.96,37.55
197,0.95,19.01,0.0,0.0,68.0,24.91,37.12
198,0.75,19.14,0.0,0.0,68.0,25.9,37.06
199,1.03,19.79,0.0,0.0,68.0,22.8,36.33
