Hour,Electricity Use [kWh],Natural Gas Use [kBtu],Fuel Oil Use [kBtu],Propane Use [kBtu],Living Temperature [F],Vented Attic Temperature [F],Vented Crawlspace Temperature [F]
200,1.53,16.54,0.0,0.0,68.0,29.09,37.36
201,1.12,12.16,0.0,0.0,68.0,32.47,38.29
202,1.41,8.92,0.0,0.0,68.0,36.82,39.49
203,1.4,6.44,0.0,0.0,68.0,39.07,40.45
204,1.38,4.84,0.0,0.0,68.0,38.36,40.81
205,1.03,3.77,0.0,0.0,68.0,38.44,41.27
206,1.03,2.82,0.0,0.0,68.0,39.48,42.02
207,1.04,1.12,0.0,0.0,68.0,40.35,42.84
208,1.41,0.98,0.0,0.0,68.0,39.56,42.89
209,1.3,3.48,0.0,0.0,68.0,37.55,42.21
210,2.0,5.86,0.0,0.0,68.0,34.38,41.04
211,1.87,6.61,0.0,0.0,68.0,32.19,40.39
212,1.84,6.96,0.0,0.0,68.0,33.03,40.34
213,1.73,9.4,0.0,0.0,68.0,29.05,39.25
214,1.55,10.69,0.0,0.0,68.0,28.91,38.98
215,1.36,12.68,0.0,0.0,68.0,26.99,38.38
216,2.63,15.72,0.0,0.0,68.0,24.16,37.53
217,0.92,16.97,0.0,0.0,68.0,24.06,37.19
218,0.7,18.46,0.0,0.0,68.0,22.99,36.69
219,0.67,19.25,0.0,0.0,68.0,22.92,36.37
220,0.66,20.72,0.0,0.0,68.0,21.87,35.9
221,0.65,21.73,0.0,0.0,68.0,20.98,35.44
222,1.09,22.52,0.0,0.0,68.0,19.91,34.96
223,1.04,21.54,0.0,0.0,68.0,21.68,35.02
224,1.21,19.75,0.0,0.0,68.0,22.83,35.13
225,1.13,14.13,0.0,0.0,68.0,28.68,36.33
226,4.81,10.52,0.0,0.0,68.0,34.82,37.97
227,3.7,7.2,0.0,0.0,68.0,39.83,39.6
228,1.28,3.62,0.0,0.0,68.0,43.19,41.37
229,1.02,1.29,0.0,0.0,68.0,46.64,43.0
230,1.02,0.53,0.0,0.0,68.0,46.95,43.74
231,1.35,0.0,0.0,0.0,68.34,54.54,44.25
232,1.07,0.0,0.0,0.0,68.6,44.7,44.49
233,1.28,0.39,0.0,0.0,68.0,40.2,43.05
234,1.67,4.49,0.0,0.0,68.0,34.55,41.33
235,2.21,5.76,0.0,0.0,68.0,30.67,40.2
236,4.76,6.68,0.0,0.0,68.0,28.39,39.41
237,1.81,7.37,0.0,0.0,68.0,29.94,39.39
238,1.55,10.17,0.0,0.0,68.0,26.15,38.29
239,1.36,12.41,0.0,0.0,68.0,24.2,37.56
240,1.32,15.25,0.0,0.0,68.0,23.01,37.04
241,0.77,17.03,0.0,0.0,68.0,21.93,36.48
242,1.03,18.82,0.0,0.0,68.0,21.01,35.94
243,0.67,19.64,0.0,0.0,68.0,20.95,35.6
244,0.66,20.47,0.0,0.0,68.0,21.78,35.44
245,0.65,21.02,0.0,0.0,68.0,22.85,35.36
246,1.08,20.51,0.0,0.0,68.0,24.77,35.51
247,1.03,20.33,0.0,0.0,68.0,24.81,35.38
248,1.54,19.27,0.0,0.0,68.0,25.89,35.47
249,4.33,17.04,0.0,0.0,68.0,28.78,36.08
250,1.47,11.48,0.0,0.0,68.0,33.8,37.41
251,1.37,6.78,0.0,0.0,68.0,44.45,40.24
252,2.48,4.22,0.0,0.0,68.0,46.59,42.11
253,0.97,1.27,0.0,0.0,68.0,51.23,43.87
254,0.96,0.0,0.0,0.0,68.1,53.23,45.14
255,1.32,0.05,0.0,0.0,68.0,54.09,45.96
256,1.35,1.45,0.0,0.0,68.0,50.38,45.72
257,1.29,2.31,0.0,0.0,68.0,47.32,45.2
258,1.66,2.57,0.0,0.0,68.0,46.21,44.9
259,2.16,2.6,0.0,0.0,68.0,45.02,44.51
260,2.57,3.96,0.0,0.0,68.0,42.15,43.59
261,1.7,5.07,0.0,0.0,68.0,39.98,42.75
262,1.52,4.9,0.0,0.0,68.0,42.79,43.42
263,1.67,6.65,0.0,0.0,68.0,39.95,42.54
264,0.96,8.06,0.0,0.0,68.0,39.0,42.0
265,0.73,9.77,0.0,0.0,68.0,37.09,41.43
266,0.98,12.24,0.0,0.0,68.0,32.28,40.14
267,0.64,13.7,0.0,0.0,68.0,30.3,39.49
268,0.64,16.06,0.0,0.0,68.0,26.34,38.44
269,0.63,17.96,0.0,0.0,68.0,23.37,37.49
270,2.01,18.79,0.0,0.0,68.0,22.12,36.9
271,3.72,20.06,0.0,0.0,68.0,21.15,36.35
272,1.21,18.67,0.0,0.0,68.0,23.94,36.52
273,1.14,16.61,0.0,0.0,68.0,30.51,37.57
274,1.09,14.9,0.0,0.0,68.0,35.41,38.64
275,5.83,13.53,0.0,0.0,68.0,42.09,40.37
276,4.42,11.02,0.0,0.0,68.0,45.0,42.06
277,1.43,10.45,0.0,0.0,68.0,45.88,42.61
278,1.4,9.5,0.0,0.0,68.0,47.89,43.44
279,1.09,9.19,0.0,0.0,68.0,46.92,43.62
280,1.12,8.89,0.0,0.0,68.0,46.89,43.84
281,1.65,10.62,0.0,0.0,68.0,40.07,42.32
282,2.07,11.24,0.0,0.0,68.0,36.26,40.38
283,2.22,10.47,0.0,0.0,68.0,36.03,40.48
284,2.32,10.36,0.0,0.0,68.0,35.95,40.41
285,2.13,12.62,0.0,0.0,68.0,30.43,38.93
286,2.45,13.83,0.0,0.0,68.0,28.27,38.29
287,1.37,14.58,0.0,0.0,68.0,28.9,38.2
288,1.31,15.53,0.0,0.0,68.0,28.86,37.97
289,0.76,15.07,0.0,0.0,68.0,32.74,38.54
290,1.43,14.07,0.0,0.0,68.0,37.35,39.5
291,0.65,14.68,0.0,0.0,68.0,36.78,39.44
292,0.63,14.77,0.0,0.0,68.0,36.69,39.42
293,0.61,14.66,0.0,0.0,68.0,37.45,39.63
294,5.13,15.94,0.0,0.0,68.0,36.75,39.47
295,1.78,15.11,0.0,0.0,68.0,35.78,39.2
296,1.17,12.33,0.0,0.0,68.0,37.73,39.73
297,1.09,7.13,0.0,0.0,68.0,41.78,41.1
298,1.76,3.49,0.0,0.0,68.0,45.88,43.46
299,1.03,0.91,0.0,0.0,68.0,49.07,44.6
300,1.64,0.0,0.0,0.0,68.33,49.98,45.36
301,3.13,0.0,0.0,0.0,69.0,52.54,46.33
302,1.69,0.0,0.0,0.0,69.27,52.32,46.85
303,1.03,0.0,0.0,0.0,69.87,59.97,47.41
304,1.4,0.0,0.0,0.0,70.3,58.62,47.83
305,1.28,0.0,0.0,0.0,69.95,48.1,47.51
306,2.37,0.0,0.0,0.0,69.3,45.89,46.7
307,3.23,0.0,0.0,0.0,68.99,44.31,46.05
308,2.14,0.0,0.0,0.0,68.84,44.3,45.77
309,2.82,0.0,0.0,0.0,68.48,42.89,45.23
310,6.84,1.7,0.0,0.0,68.0,38.14,43.52
311,2.06,4.44,0.0,0.0,68.0,35.29,42.33
312,1.26,5.17,0.0,0.0,68.0,36.93,42.46
313,0.7,4.99,0.0,0.0,68.0,41.81,43.37
314,0.62,5.29,0.0,0.0,68.0,43.55,44.17
315,0.6,6.16,0.0,0.0,68.0,44.68,44.48
316,1.38,7.33,0.0,0.0,68.0,43.89,44.22
317,4.25,8.7,0.0,0.0,68.0,43.89,44.15
318,0.78,8.44,0.0,0.0,68.0,43.87,44.14
319,2.43,8.8,0.0,0.0,68.0,43.91,44.12
320,1.47,8.15,0.0,0.0,68.0,43.94,44.13
321,1.08,5.53,0.0,0.0,68.0,46.78,45.18
322,2.22,3.47,0.0,0.0,68.0,49.89,46.49
323,0.99,0.81,0.0,0.0,68.0,53.91,47.72
324,0.99,0.0,0.0,0.0,68.78,55.5,48.68
325,1.35,0.0,0.0,0.0,68.93,57.13,49.38
326,0.97,0.0,0.0,0.0,68.91,56.79,49.84
327,0.98,0.0,0.0,0.0,69.13,55.43,50.07
328,1.02,0.0,0.0,0.0,68.89,54.3,50.0
329,3.06,0.0,0.0,0.0,68.25,50.46,49.19
330,2.52,0.0,0.0,0.0,68.04,48.3,48.3
331,1.84,0.6,0.0,0.0,68.0,45.14,47.24
332,1.81,1.99,0.0,0.0,68.0,42.26,46.11
333,1.7,4.18,0.0,0.0,68.0,37.33,44.25
334,1.86,6.01,0.0,0.0,68.0,34.26,43.3
335,1.64,7.29,0.0,0.0,68.0,33.23,42.71
336,0.97,9.9,0.0,0.0,68.0,30.22,41.67
337,1.05,11.33,0.0,0.0,68.0,30.09,41.26
338,0.67,13.05,0.0,0.0,68.0,29.01,40.72
339,0.64,14.12,0.0,0.0,68.0,28.89,40.34
340,0.63,15.46,0.0,0.0,68.0,27.97,39.84
341,0.62,16.08,0.0,0.0,68.0,28.77,39.66
342,0.74,16.1,0.0,0.0,68.0,29.79,39.59
343,1.02,17.44,0.0,0.0,68.0,26.93,38.78
344,1.51,15.56,0.0,0.0,68.0,27.91,38.77
345,2.88,8.63,0.0,0.0,68.0,37.51,40.71
346,1.03,4.19,0.0,0.0,68.0,44.47,42.82
347,0.98,1.13,0.0,0.0,68.0,49.82,45.95
348,1.31,0.0,0.0,0.0,68.52,58.11,47.16
349,1.3,0.0,0.0,0.0,69.14,64.89,48.22
350,0.96,0.0,0.0,0.0,69.77,59.27,49.27
351,1.32,0.0,0.0,0.0,70.56,66.02,49.9
352,1.44,0.0,0.0,0.0,70.95,53.79,49.74
353,1.28,0.0,0.0,0.0,70.68,49.94,49.21
354,2.08,0.0,0.0,0.0,69.94,46.96,48.28
355,4.4,0.0,0.0,0.0,69.13,41.15,46.24
356,1.8,0.0,0.0,0.0,68.81,39.49,45.35
357,1.68,0.0,0.0,0.0,68.15,36.32,43.91
358,1.83,1.9,0.0,0.0,68.0,35.98,43.65
359,1.32,5.26,0.0,0.0,68.0,31.25,42.2
360,0.95,6.46,0.0,0.0,68.0,31.94,41.97
361,0.71,6.26,0.0,0.0,68.0,36.4,42.66
362,0.95,7.35,0.0,0.0,68.0,37.52,42.75
363,0.6,6.75,0.0,0.0,68.0,43.26,43.93
364,0.61,11.1,0.0,0.0,68.0,33.59,40.99
365,0.6,13.3,0.0,0.0,68.0,30.25,40.55
366,0.72,13.94,0.0,0.0,68.0,30.06,40.34
367,1.0,14.24,0.0,0.0,68.0,29.97,40.01
368,1.51,13.56,0.0,0.0,68.0,31.77,40.14
369,1.12,12.79,0.0,0.0,68.0,31.94,40.09
370,1.79,12.55,0.0,0.0,68.0,30.18,39.68
371,1.43,11.25,0.0,0.0,68.0,32.13,39.99
372,1.09,9.07,0.0,0.0,68.0,34.2,40.49
373,1.06,7.72,0.0,0.0,68.0,36.12,41.08
374,1.37,6.9,0.0,0.0,68.0,36.17,41.32
375,1.07,6.26,0.0,0.0,68.0,35.28,41.27
376,1.1,5.16,0.0,0.0,68.0,35.37,41.36
377,1.63,6.45,0.0,0.0,68.0,35.36,41.27
378,1.69,8.16,0.0,0.0,68.0,32.3,40.43
379,1.88,8.28,0.0,0.0,68.0,33.05,40.41
380,1.85,8.33,0.0,0.0,68.0,33.83,40.48
381,2.05,10.15,0.0,0.0,68.0,30.93,39.72
382,1.55,11.23,0.0,0.0,68.0,30.04,39.33
383,1.36,12.88,0.0,0.0,68.0,28.94,38.93
384,2.4,14.72,0.0,0.0,68.0,28.05,38.53
385,0.76,15.71,0.0,0.0,68.0,27.97,38.3
386,0.69,16.27,0.0,0.0,68.0,28.75,38.26
387,0.97,16.84,0.0,0.0,68.0,28.72,38.09
388,0.63,15.31,0.0,0.0,68.0,34.53,39.08
389,0.63,17.21,0.0,0.0,68.0,30.9,38.34
390,0.74,17.08,0.0,0.0,68.0,30.74,38.19
391,1.01,16.35,0.0,0.0,68.0,31.74,38.34
392,1.21,19.54,0.0,0.0,68.0,23.47,36.49
393,1.15,17.84,0.0,0.0,68.0,27.75,37.15
394,5.01,15.38,0.0,0.0,68.0,31.89,38.04
395,3.85,13.56,0.0,0.0,68.0,32.06,38.25
396,1.3,11.79,0.0,0.0,68.0,30.6,38.0
397,1.07,10.69,0.0,0.0,68.0,29.39,37.8
398,1.07,9.8,0.0,0.0,68.0,29.32,37.77
399,1.4,9.18,0.0,0.0,68.0,25.76,37.34
400,1.13,11.11,0.0,0.0,68.0,23.53,36.76
401,1.35,13.21,0.0,0.0,68.0,22.04,36.08
402,1.73,15.18,0.0,0.0,68.0,22.48,35.17
403,2.27,16.66,0.0,0.0,68.0,16.23,34.4
404,4.85,16.89,0.0,0.0,68.0,15.38,34.03
405,1.86,19.05,0.0,0.0,68.0,14.25,33.49
406,1.61,21.12,0.0,0.0,68.0,13.01,32.9
407,1.42,22.98,0.0,0.0,68.0,12.09,32.36
408,1.38,24.97,0.0,0.0,68.0,11.04,31.8
409,0.82,26.55,0.0,0.0,68.0,10.95,31.41
410,1.08,27.68,0.0,0.0,68.0,10.87,31.05
411,0.73,28.52,0.0,0.0,68.0,10.8,30.71
412,0.71,29.54,0.0,0.0,68.0,9.93,30.25
413,0.7,30.08,0.0,0.0,68.0,10.76,30.06
414,1.13,30.09,0.0,0.0,68.0,10.76,29.81
415,1.09,30.07,0.0,0.0,68.0,10.77,29.55
416,1.58,25.93,0.0,0.0,68.0,14.7,30.17
417,4.38,21.57,0.0,0.0,68.0,16.93,30.81
418,1.53,15.46,0.0,0.0,68.0,24.66,32.62
419,1.37,10.17,0.0,0.0,68.0,33.92,34.94
420,2.5,6.32,0.0,0.0,68.0,40.01,37.12
421,1.02,2.42,0.0,0.0,68.0,45.95,40.71
422,0.96,0.0,0.0,0.0,68.44,56.16,43.23
423,1.32,0.0,0.0,0.0,69.18,56.16,44.3
424,1.35,0.0,0.0,0.0,69.76,60.79,45.0
425,1.23,0.0,0.0,0.0,69.88,53.97,45.65
426,1.59,0.0,0.0,0.0,69.17,50.57,45.34
427,2.1,0.0,0.0,0.0,69.15,51.89,45.75
428,2.5,0.0,0.0,0.0,69.03,50.95,45.73
429,1.63,0.0,0.0,0.0,68.9,51.66,45.97
430,1.44,0.0,0.0,0.0,68.58,50.61,45.9
431,1.58,0.0,0.0,0.0,68.18,50.24,45.94
432,0.92,1.34,0.0,0.0,68.0,45.78,45.54
433,0.63,1.72,0.0,0.0,68.0,50.73,46.22
434,0.87,2.62,0.0,0.0,68.0,50.58,46.15
435,0.59,4.15,0.0,0.0,68.0,47.66,45.48
436,0.58,5.44,0.0,0.0,68.0,43.65,44.71
437,0.57,7.96,0.0,0.0,68.0,39.93,42.85
438,2.04,6.92,0.0,0.0,68.0,43.68,43.88
439,3.44,6.06,0.0,0.0,68.0,43.31,46.01
440,1.13,4.86,0.0,0.0,68.0,47.67,45.63
441,1.32,1.01,0.0,0.0,68.0,52.95,46.97
442,0.96,0.0,0.0,0.0,68.56,54.9,47.84
443,5.61,0.0,0.0,0.0,69.05,59.18,49.24
444,4.33,0.0,0.0,0.0,70.08,60.06,50.08
445,1.32,0.0,0.0,0.0,70.85,60.94,50.95
446,1.29,0.0,0.0,0.0,71.41,60.72,51.6
447,0.98,0.0,0.0,0.0,72.21,59.68,51.98
448,1.02,0.0,0.0,0.0,72.54,55.03,51.49
449,1.23,0.0,0.0,0.0,72.43,54.25,51.26
450,2.31,0.0,0.0,0.0,71.78,51.68,50.6
451,2.16,0.0,0.0,0.0,71.47,49.25,49.68
452,2.26,0.0,0.0,0.0,69.83,34.81,44.94
453,2.05,0.0,0.0,0.0,68.75,28.87,43.05
454,2.38,0.48,0.0,0.0,68.0,26.52,42.03
455,1.32,5.45,0.0,0.0,68.0,23.48,40.67
456,0.96,8.43,0.0,0.0,68.0,22.2,39.78
457,1.05,10.43,0.0,0.0,68.0,21.97,39.18
458,1.42,12.31,0.0,0.0,68.0,21.83,38.68
459,0.64,13.61,0.0,0.0,68.0,22.76,38.4
460,0.63,15.33,0.0,0.0,68.0,22.78,37.99
