Hour,Electricity Use [kWh],Natural Gas Use [kBtu],Fuel Oil Use [kBtu],Propane Use [kBtu],Living Temperature [F],Unvented Attic Temperature [F],Vented Crawlspace Temperature [F]
141,2.57,8.87,0.0,0.0,68.0,28.63,38.9
142,6.63,11.08,0.0,0.0,68.0,25.67,37.94
143,1.86,12.29,0.0,0.0,68.0,23.43,37.49
144,1.22,14.21,0.0,0.0,68.0,21.65,36.74
145,0.72,15.57,0.0,0.0,68.0,20.19,36.31
146,0.66,16.11,0.0,0.0,68.0,19.16,36.11
147,0.66,18.25,0.0,0.0,68.0,17.93,35.06
148,1.44,19.93,0.0,0.0,68.0,16.13,34.15
149,4.3,22.09,0.0,0.0,68.0,13.88,33.17
150,0.79,21.62,0.0,0.0,68.0,12.24,33.01
151,2.38,21.99,0.0,0.0,68.0,11.25,32.62
152,1.36,16.66,0.0,0.0,68.0,13.02,35.22
153,0.96,15.7,0.0,0.0,68.0,17.2,36.36
154,2.08,14.86,0.0,0.0,68.0,21.78,37.2
155,1.0,13.36,0.0,0.0,68.0,26.35,38.2
156,0.94,11.87,0.0,0.0,68.0,30.98,39.47
157,1.3,11.13,0.0,0.0,68.0,35.13,40.28
158,0.92,10.99,0.0,0.0,68.0,38.05,40.47
159,0.93,10.76,0.0,0.0,68.0,39.53,40.76
160,0.95,10.91,0.0,0.0,68.0,39.8,40.75
161,2.91,10.8,0.0,0.0,68.0,39.46,41.12
162,2.29,9.69,0.0,0.0,68.0,38.95,41.59
163,1.52,8.99,0.0,0.0,68.0,38.64,41.48
164,1.48,9.02,0.0,0.0,68.0,38.26,41.29
165,1.43,9.94,0.0,0.0,68.0,37.28,40.41
166,1.67,11.34,0.0,0.0,68.0,35.19,39.28
167,1.47,11.49,0.0,0.0,68.0,33.22,39.29
168,0.89,11.13,0.0,0.0,68.0,32.57,39.8
169,0.7,11.56,0.0,0.0,68.0,32.68,39.8
170,0.95,12.14,0.0,0.0,68.0,32.72,39.53
171,0.62,13.19,0.0,0.0,68.0,32.21,38.85
172,0.62,14.43,0.0,0.0,68.0,31.3,38.31
173,0.6,15.37,0.0,0.0,68.0,30.01,37.57
174,0.68,15.27,0.0,0.0,68.0,28.43,37.31
175,0.88,15.75,0.0,0.0,68.0,26.74,36.72
176,1.34,13.91,0.0,0.0,68.0,25.81,37.02
177,2.7,7.86,0.0,0.0,68.0,28.58,38.85
178,0.85,3.91,0.0,0.0,68.0,34.61,40.63
179,0.86,2.12,0.0,0.0,68.0,41.65,42.36
180,1.19,0.65,0.0,0.0,68.0,48.21,43.58
181,1.14,0.0,0.0,0.0,68.55,54.11,45.38
182,0.8,0.0,0.0,0.0,69.19,58.88,46.23
183,1.2,0.0,0.0,0.0,69.65,60.75,45.96
184,1.3,0.0,0.0,0.0,69.98,59.6,45.84
185,1.05,0.0,0.0,0.0,69.13,55.79,44.63
186,1.7,0.68,0.0,0.0,68.0,49.97,42.32
187,4.19,3.35,0.0,0.0,68.0,44.24,41.4
188,1.46,4.19,0.0,0.0,68.0,39.71,40.59
189,1.4,4.81,0.0,0.0,68.0,36.38,40.36
190,1.62,6.14,0.0,0.0,68.0,33.92,39.65
191,1.13,6.85,0.0,0.0,68.0,31.99,39.52
192,0.87,8.8,0.0,0.0,68.0,30.44,38.9
193,0.69,10.48,0.0,0.0,68.0,28.88,38.41
194,0.64,11.5,0.0,0.0,68.0,27.52,38.11
195,0.62,12.39,0.0,0.0,68.0,26.51,37.83
196,0.61,13.16,0.0,0.0,68.0,25.75,37.57
197,0.91,14.06,0.0,0.0,68.0,24.9,37.14
198,0.67,14.29,0.0,0.0,68.0,24.24,37.08
199,0.88,14.9,0.0,0.0,68.0,22.42,36.35
200,1.34,12.43,0.0,0.0,68.0,22.03,37.37
201,0.92,8.08,0.0,0.0,68.0,25.42,38.3
202,1.21,4.79,0.0,0.0,68.0,31.39,39.51
203,1.2,2.72,0.0,0.0,68.0,38.31,40.46
204,1.19,1.57,0.0,0.0,68.0,44.68,40.82
205,0.85,0.54,0.0,0.0,68.0,48.84,41.29
206,0.85,0.0,0.0,0.0,68.1,51.21,42.05
207,0.87,0.0,0.0,0.0,68.61,52.3,42.86
208,1.22,0.0,0.0,0.0,68.74,51.34,42.91
209,1.05,0.23,0.0,0.0,68.0,48.6,42.23
210,1.69,3.65,0.0,0.0,68.0,44.3,41.06
211,1.49,4.31,0.0,0.0,68.0,39.98,40.42
212,1.46,4.81,0.0,0.0,68.0,36.93,40.37
213,1.41,6.56,0.0,0.0,68.0,34.35,39.28
214,1.3,7.54,0.0,0.0,68.0,32.11,39.0
215,1.14,9.12,0.0,0.0,68.0,30.17,38.4
216,2.51,11.47,0.0,0.0,68.0,28.16,37.55
217,0.86,12.44,0.0,0.0,68.0,26.4,37.21
218,0.65,13.63,0.0,0.0,68.0,24.91,36.71
219,0.63,14.32,0.0,0.0,68.0,23.59,36.39
220,0.62,15.44,0.0,0.0,68.0,22.51,35.92
221,0.61,16.29,0.0,0.0,68.0,21.57,35.46
222,1.01,16.97,0.0,0.0,68.0,20.52,34.98
223,0.89,16.4,0.0,0.0,68.0,19.75,35.04
224,1.02,14.6,0.0,0.0,68.0,20.12,35.14
225,0.92,9.29,0.0,0.0,68.0,23.25,36.35
226,4.6,5.82,0.0,0.0,68.0,29.22,37.98
227,3.5,3.24,0.0,0.0,68.0,36.86,39.62
228,1.09,0.5,0.0,0.0,68.0,45.09,41.38
229,0.84,0.0,0.0,0.0,68.38,53.49,43.03
230,0.85,0.0,0.0,0.0,68.7,59.34,43.77
231,1.18,0.0,0.0,0.0,69.3,62.6,44.27
232,0.88,0.0,0.0,0.0,69.63,61.8,44.51
233,1.05,0.0,0.0,0.0,68.86,57.21,43.1
234,1.35,1.22,0.0,0.0,68.01,50.76,41.37
235,1.83,3.49,0.0,0.0,68.0,44.4,40.22
236,4.36,3.9,0.0,0.0,68.0,39.14,39.44
237,1.5,4.97,0.0,0.0,68.0,35.44,39.42
238,1.3,6.82,0.0,0.0,68.0,32.49,38.32
239,1.14,8.48,0.0,0.0,68.0,29.66,37.59
240,1.21,10.51,0.0,0.0,68.0,27.38,37.07
241,0.7,12.01,0.0,0.0,68.0,25.48,36.5
242,0.97,13.44,0.0,0.0,68.0,23.8,35.97
243,0.63,14.2,0.0,0.0,68.0,22.24,35.62
244,0.62,14.91,0.0,0.0,68.0,21.32,35.46
245,0.6,15.46,0.0,0.0,68.0,21.09,35.38
246,1.0,15.26,0.0,0.0,68.0,21.31,35.53
247,0.88,15.29,0.0,0.0,68.0,21.65,35.4
248,1.35,14.4,0.0,0.0,68.0,22.36,35.49
249,4.13,12.29,0.0,0.0,68.0,24.71,36.1
250,1.26,7.27,0.0,0.0,68.0,29.66,37.43
251,1.17,3.57,0.0,0.0,68.0,37.53,40.26
252,2.29,1.37,0.0,0.0,68.0,47.51,42.14
253,0.79,0.0,0.0,0.0,68.27,54.84,43.89
254,0.8,0.0,0.0,0.0,68.82,58.84,45.17
255,1.15,0.0,0.0,0.0,68.71,59.82,45.99
256,1.16,0.0,0.0,0.0,68.14,58.17,45.75
257,1.06,1.13,0.0,0.0,68.0,54.65,45.23
258,1.36,1.66,0.0,0.0,68.0,50.67,44.91
259,1.79,1.88,0.0,0.0,68.0,47.65,44.53
260,2.2,3.02,0.0,0.0,68.0,45.2,43.62
261,1.39,3.85,0.0,0.0,68.0,43.0,42.78
262,1.28,3.73,0.0,0.0,68.0,41.77,43.44
263,1.46,5.12,0.0,0.0,68.0,40.93,42.56
264,0.85,6.18,0.0,0.0,68.0,40.0,42.02
265,0.67,7.52,0.0,0.0,68.0,38.93,41.45
266,0.94,9.39,0.0,0.0,68.0,37.17,40.16
267,0.61,10.51,0.0,0.0,68.0,35.01,39.51
268,0.6,12.23,0.0,0.0,68.0,32.72,38.46
269,0.59,13.65,0.0,0.0,68.0,30.27,37.5
270,1.93,14.22,0.0,0.0,68.0,28.0,36.92
271,3.57,15.34,0.0,0.0,68.0,26.11,36.36
272,1.02,14.27,0.0,0.0,68.0,25.07,36.54
273,0.95,12.87,0.0,0.0,68.0,25.95,37.59
274,0.89,11.59,0.0,0.0,68.0,28.77,38.66
275,5.64,10.84,0.0,0.0,68.0,32.86,40.39
276,4.24,8.72,0.0,0.0,68.0,37.32,42.06
277,1.26,8.3,0.0,0.0,68.0,41.18,42.63
278,1.22,7.66,0.0,0.0,68.0,43.88,43.46
279,0.91,7.57,0.0,0.0,68.0,45.48,43.63
280,0.93,7.55,0.0,0.0,68.0,46.03,43.86
281,1.42,9.03,0.0,0.0,68.0,44.89,42.33
282,1.76,9.59,0.0,0.0,68.0,41.51,40.39
283,1.85,8.98,0.0,0.0,68.0,39.14,40.49
284,1.95,8.89,0.0,0.0,68.0,37.51,40.42
285,1.81,10.49,0.0,0.0,68.0,35.17,38.94
286,2.21,11.25,0.0,0.0,68.0,32.5,38.31
287,1.16,11.79,0.0,0.0,68.0,30.62,38.21
288,1.21,12.42,0.0,0.0,68.0,29.39,37.98
289,0.7,12.06,0.0,0.0,68.0,29.04,38.55
290,1.39,11.34,0.0,0.0,68.0,29.89,39.51
291,0.62,11.72,0.0,0.0,68.0,31.05,39.45
292,0.6,11.87,0.0,0.0,68.0,31.44,39.43
293,0.58,11.86,0.0,0.0,68.0,31.23,39.64
294,5.06,13.12,0.0,0.0,68.0,31.15,39.48
295,1.63,12.34,0.0,0.0,68.0,31.19,39.21
296,0.99,9.61,0.0,0.0,68.0,32.21,39.74
297,0.89,4.54,0.0,0.0,68.0,35.67,41.11
298,1.56,0.6,0.0,0.0,68.0,41.98,43.47
299,0.84,0.0,0.0,0.0,68.36,49.57,44.61
300,1.47,0.0,0.0,0.0,69.05,57.15,45.38
301,2.96,0.0,0.0,0.0,69.76,64.28,46.35
302,1.53,0.0,0.0,0.0,70.06,69.07,46.87
303,0.87,0.0,0.0,0.0,70.75,71.09,47.43
304,1.22,0.0,0.0,0.0,71.19,69.62,47.86
305,1.05,0.0,0.0,0.0,70.75,65.23,47.54
306,2.07,0.0,0.0,0.0,69.92,59.26,46.71
307,2.86,0.0,0.0,0.0,69.52,53.92,46.08
308,1.77,0.0,0.0,0.0,69.36,49.37,45.8
309,2.51,0.0,0.0,0.0,69.09,46.26,45.26
310,6.59,0.0,0.0,0.0,68.29,43.6,43.55
311,1.84,1.61,0.0,0.0,68.0,40.74,42.35
312,1.15,2.67,0.0,0.0,68.0,38.66,42.49
313,0.64,2.68,0.0,0.0,68.0,38.31,43.4
314,0.58,2.98,0.0,0.0,68.0,38.9,44.2
315,0.56,3.47,0.0,0.0,68.0,39.86,44.5
316,1.35,4.63,0.0,0.0,68.0,40.55,44.24
317,4.21,6.01,0.0,0.0,68.0,40.63,44.18
318,0.71,5.92,0.0,0.0,68.0,40.37,44.16
319,2.29,6.4,0.0,0.0,68.0,40.41,44.14
320,1.29,5.91,0.0,0.0,68.0,40.89,44.15
321,0.89,3.45,0.0,0.0,68.0,42.76,45.19
322,2.03,1.55,0.0,0.0,68.0,47.0,46.54
323,0.81,0.0,0.0,0.0,68.28,52.64,47.74
324,0.81,0.0,0.0,0.0,69.43,60.32,48.71
325,1.18,0.0,0.0,0.0,69.61,65.55,49.41
326,0.8,0.0,0.0,0.0,69.5,66.99,49.87
327,0.82,0.0,0.0,0.0,69.76,66.56,50.09
328,0.83,0.0,0.0,0.0,69.45,64.15,50.03
329,2.83,0.0,0.0,0.0,68.74,60.03,49.21
330,2.22,0.0,0.0,0.0,68.5,55.77,48.33
331,1.46,0.0,0.0,0.0,68.3,52.51,47.27
332,1.43,0.47,0.0,0.0,68.0,49.53,46.14
333,1.38,2.54,0.0,0.0,68.0,46.32,44.28
334,1.62,3.82,0.0,0.0,68.0,43.06,43.32
335,1.43,4.87,0.0,0.0,68.0,40.25,42.73
336,0.86,6.64,0.0,0.0,68.0,37.7,41.7
337,0.99,7.81,0.0,0.0,68.0,35.51,41.28
338,0.62,9.19,0.0,0.0,68.0,33.29,40.74
339,0.61,10.09,0.0,0.0,68.0,31.13,40.36
340,0.6,11.16,0.0,0.0,68.0,29.35,39.85
341,0.58,11.74,0.0,0.0,68.0,28.17,39.67
342,0.66,11.89,0.0,0.0,68.0,27.5,39.61
343,0.86,12.95,0.0,0.0,68.0,26.77,38.8
344,1.32,11.18,0.0,0.0,68.0,26.65,38.79
345,2.69,4.98,0.0,0.0,68.0,29.91,40.73
346,0.83,0.55,0.0,0.0,68.0,36.89,42.84
347,0.79,0.0,0.0,0.0,68.46,46.24,45.95
348,1.13,0.0,0.0,0.0,69.36,57.51,47.18
349,1.14,0.0,0.0,0.0,69.99,66.77,48.24
350,0.8,0.0,0.0,0.0,70.56,72.25,49.3
351,1.15,0.0,0.0,0.0,71.41,74.66,49.93
352,1.26,0.0,0.0,0.0,71.86,73.04,49.77
353,1.05,0.0,0.0,0.0,71.5,67.78,49.24
354,1.74,0.0,0.0,0.0,70.6,61.29,48.21
355,4.12,0.0,0.0,0.0,69.76,54.83,46.26
356,1.43,0.0,0.0,0.0,69.46,49.25,45.39
357,1.37,0.0,0.0,0.0,68.93,44.89,43.96
358,1.59,0.0,0.0,0.0,68.42,41.5,43.67
359,1.09,1.64,0.0,0.0,68.0,38.26,42.23
360,0.84,3.4,0.0,0.0,68.0,35.53,42.0
361,0.65,3.4,0.0,0.0,68.0,34.2,42.68
362,0.59,4.28,0.0,0.0,68.0,34.0,42.78
363,0.88,3.69,0.0,0.0,68.0,34.9,43.95
364,0.57,7.07,0.0,0.0,68.0,34.77,41.01
365,0.56,8.98,0.0,0.0,68.0,33.08,40.58
366,0.65,9.73,0.0,0.0,68.0,31.39,40.36
367,0.85,10.17,0.0,0.0,68.0,30.27,40.03
368,1.32,9.8,0.0,0.0,68.0,29.92,40.16
369,0.92,9.04,0.0,0.0,68.0,31.06,40.11
370,1.43,8.47,0.0,0.0,68.0,33.71,39.7
371,1.38,7.32,0.0,0.0,68.0,36.94,40.01
372,0.9,5.47,0.0,0.0,68.0,40.78,40.51
373,0.87,4.07,0.0,0.0,68.0,44.49,41.1
374,0.87,3.21,0.0,0.0,68.0,46.88,41.34
375,0.88,2.24,0.0,0.0,68.0,47.08,41.29
376,1.23,1.63,0.0,0.0,68.0,46.2,41.38
377,1.07,3.64,0.0,0.0,68.0,44.25,41.3
378,1.71,5.61,0.0,0.0,68.0,40.88,40.45
379,1.5,5.66,0.0,0.0,68.0,37.62,40.43
380,1.47,6.0,0.0,0.0,68.0,35.45,40.5
381,1.41,7.42,0.0,0.0,68.0,33.63,39.74
382,1.56,8.26,0.0,0.0,68.0,32.11,39.36
383,1.21,9.6,0.0,0.0,68.0,30.72,38.95
384,2.29,11.08,0.0,0.0,68.0,29.59,38.55
385,0.7,11.86,0.0,0.0,68.0,28.59,38.32
386,0.64,12.36,0.0,0.0,68.0,27.71,38.28
387,0.62,12.85,0.0,0.0,68.0,27.08,38.11
388,0.92,11.83,0.0,0.0,68.0,27.51,39.1
389,0.59,13.26,0.0,0.0,68.0,28.26,38.36
390,0.67,13.3,0.0,0.0,68.0,28.4,38.21
391,0.86,12.87,0.0,0.0,68.0,28.33,38.36
392,1.02,15.2,0.0,0.0,68.0,27.47,36.51
393,0.95,14.11,0.0,0.0,68.0,27.33,37.16
394,4.84,11.78,0.0,0.0,68.0,29.84,38.05
395,3.49,9.85,0.0,0.0,68.0,34.16,38.26
396,1.17,7.99,0.0,0.0,68.0,38.96,38.01
397,0.89,6.69,0.0,0.0,68.0,43.59,37.82
398,0.88,5.77,0.0,0.0,68.0,47.35,37.79
399,1.21,4.78,0.0,0.0,68.0,48.3,37.36
400,0.93,6.88,0.0,0.0,68.0,45.34,36.78
401,1.11,9.19,0.0,0.0,68.0,40.38,36.1
402,1.41,10.83,0.0,0.0,68.0,34.67,35.19
403,1.88,12.15,0.0,0.0,68.0,29.02,34.42
404,4.45,12.25,0.0,0.0,68.0,24.93,34.05
405,1.54,13.94,0.0,0.0,68.0,21.8,33.51
406,1.35,15.4,0.0,0.0,68.0,19.29,32.92
407,1.19,16.81,0.0,0.0,68.0,17.26,32.38
408,1.26,18.27,0.0,0.0,68.0,15.65,31.82
409,0.75,19.52,0.0,0.0,68.0,14.2,31.43
410,1.02,20.46,0.0,0.0,68.0,12.69,31.07
411,0.67,21.15,0.0,0.0,68.0,11.35,30.73
412,0.66,21.97,0.0,0.0,68.0,10.2,30.27
413,0.65,22.51,0.0,0.0,68.0,9.51,30.08
414,1.04,22.62,0.0,0.0,68.0,9.21,29.83
415,0.93,22.73,0.0,0.0,68.0,8.93,29.56
416,1.38,19.12,0.0,0.0,68.0,9.92,30.19
417,4.17,14.77,0.0,0.0,68.0,13.52,30.83
418,1.31,9.37,0.0,0.0,68.0,20.75,32.64
419,1.17,5.41,0.0,0.0,68.0,30.91,34.96
420,2.31,2.61,0.0,0.0,68.0,42.34,37.13
421,0.84,0.0,0.0,0.0,68.04,52.18,40.69
422,0.8,0.0,0.0,0.0,68.96,59.95,43.26
423,1.15,0.0,0.0,0.0,69.89,64.94,44.33
424,1.16,0.0,0.0,0.0,70.46,66.37,45.03
425,1.0,0.0,0.0,0.0,70.47,64.28,45.68
426,1.29,0.0,0.0,0.0,69.52,59.66,45.38
427,1.73,0.0,0.0,0.0,69.29,55.2,45.78
428,2.13,0.0,0.0,0.0,69.13,51.75,45.77
429,1.32,0.0,0.0,0.0,69.0,49.66,46.0
430,1.21,0.0,0.0,0.0,68.74,47.76,45.93
431,1.38,0.0,0.0,0.0,68.37,45.8,45.97
432,0.82,0.45,0.0,0.0,68.0,43.21,45.56
433,0.58,1.02,0.0,0.0,68.0,41.85,46.24
434,0.84,1.72,0.0,0.0,68.0,42.12,46.17
435,0.56,2.82,0.0,0.0,68.0,41.93,45.5
436,0.55,3.96,0.0,0.0,68.0,39.98,44.73
437,0.54,5.98,0.0,0.0,68.0,37.66,42.87
438,1.97,5.25,0.0,0.0,68.0,36.49,43.9
439,3.32,4.79,0.0,0.0,68.0,36.01,46.02
440,0.95,3.41,0.0,0.0,68.0,37.03,45.65
441,1.13,0.0,0.0,0.0,68.15,41.25,46.99
442,0.77,0.0,0.0,0.0,69.23,48.48,47.85
443,5.42,0.0,0.0,0.0,69.76,57.26,49.26
444,4.15,0.0,0.0,0.0,70.73,65.56,50.1
445,1.16,0.0,0.0,0.0,71.51,71.13,50.97
446,1.13,0.0,0.0,0.0,72.1,73.44,51.62
447,0.82,0.0,0.0,0.0,72.96,73.73,52.01
448,0.83,0.0,0.0,0.0,73.37,71.15,51.52
449,1.0,0.0,0.0,0.0,73.2,66.99,51.29
450,2.01,0.0,0.0,0.0,72.4,61.78,50.62
451,1.71,0.0,0.0,0.0,72.01,56.44,49.69
452,1.98,0.0,0.0,0.0,70.69,50.31,44.99
453,1.74,0.0,0.0,0.0,69.8,44.13,43.08
454,2.14,0.0,0.0,0.0,69.11,38.89,42.06
455,1.08,0.0,0.0,0.0,68.17,34.39,40.7
456,0.84,3.11,0.0,0.0,68.0,30.53,39.81
457,0.97,5.53,0.0,0.0,68.0,27.54,39.21
458,1.36,7.26,0.0,0.0,68.0,25.25,38.71
459,0.59,8.11,0.0,0.0,68.0,23.66,38.43
460,0.58,9.29,0.0,0.0,68.0,22.6,38.02
