Hour,Electricity Use [kWh],Natural Gas Use [kBtu],Fuel Oil Use [kBtu],Propane Use [kBtu],Living Temperature [F],Unvented Attic Temperature [F],Vented Crawlspace Temperature [F]
1,0.76,21.14,0.0,0.0,68.0,18.39,51.51
2,0.7,21.22,0.0,0.0,68.0,13.51,49.65
3,0.67,21.19,0.0,0.0,68.0,9.64,48.41
4,0.66,21.27,0.0,0.0,68.0,6.88,47.34
5,0.64,21.12,0.0,0.0,68.0,5.07,46.59
6,0.71,20.35,0.0,0.0,68.0,4.23,46.21
7,0.91,19.63,0.0,0.0,68.0,4.14,45.86
8,1.37,18.54,0.0,0.0,68.0,5.54,45.81
9,2.75,16.44,0.0,0.0,68.0,9.45,45.93
10,0.89,11.0,0.0,0.0,68.0,17.35,46.98
11,0.89,7.82,0.0,0.0,68.0,28.69,48.31
12,1.22,5.34,0.0,0.0,68.0,38.47,49.09
13,1.21,4.62,0.0,0.0,68.0,44.22,49.84
14,0.87,4.15,0.0,0.0,68.0,46.85,49.73
15,1.22,3.38,0.0,0.0,68.0,47.83,49.99
16,1.33,3.55,0.0,0.0,68.0,46.65,49.47
17,1.09,6.24,0.0,0.0,68.0,42.85,48.35
18,1.75,7.99,0.0,0.0,68.0,38.35,47.45
19,4.2,10.15,0.0,0.0,68.0,33.67,46.12
20,1.5,10.75,0.0,0.0,68.0,29.86,45.38
21,1.44,11.41,0.0,0.0,68.0,26.55,44.72
22,1.66,12.21,0.0,0.0,68.0,23.88,44.2
23,1.17,13.23,0.0,0.0,68.0,22.08,43.72
24,0.9,14.09,0.0,0.0,68.0,21.53,43.6
25,0.72,15.05,0.0,0.0,68.0,21.57,43.23
26,0.66,15.92,0.0,0.0,68.0,21.34,42.69
27,0.64,16.18,0.0,0.0,68.0,21.06,42.51
28,0.95,17.48,0.0,0.0,68.0,20.46,41.68
29,0.61,17.19,0.0,0.0,68.0,19.67,41.61
30,0.69,17.5,0.0,0.0,68.0,18.92,41.21
31,0.89,16.54,0.0,0.0,68.0,18.64,41.41
32,1.35,14.9,0.0,0.0,68.0,19.06,41.77
33,0.95,13.44,0.0,0.0,68.0,21.35,42.14
34,1.23,8.81,0.0,0.0,68.0,27.12,43.61
35,1.37,4.88,0.0,0.0,68.0,36.87,45.4
36,1.05,2.71,0.0,0.0,68.0,46.49,47.27
37,0.85,1.76,0.0,0.0,68.0,52.94,48.36
38,0.86,1.76,0.0,0.0,68.0,56.84,48.81
39,0.82,0.19,0.0,0.0,68.0,59.21,49.52
40,1.22,0.85,0.0,0.0,68.0,58.52,48.83
41,1.06,2.35,0.0,0.0,68.0,54.48,48.42
42,1.69,3.37,0.0,0.0,68.0,49.71,47.67
43,1.5,5.09,0.0,0.0,68.0,44.75,46.02
44,1.47,6.1,0.0,0.0,68.0,40.4,45.37
45,1.41,7.49,0.0,0.0,68.0,36.61,44.49
46,1.3,7.78,0.0,0.0,68.0,33.45,44.28
47,1.13,7.76,0.0,0.0,68.0,30.6,44.53
48,2.47,9.37,0.0,0.0,68.0,28.87,44.13
49,0.86,10.41,0.0,0.0,68.0,28.08,43.68
50,0.63,11.21,0.0,0.0,68.0,27.78,43.43
51,0.62,12.04,0.0,0.0,68.0,27.54,43.03
52,0.61,12.93,0.0,0.0,68.0,27.14,42.57
53,0.59,13.49,0.0,0.0,68.0,26.76,42.3
54,0.99,13.5,0.0,0.0,68.0,26.8,42.26
55,0.87,13.28,0.0,0.0,68.0,27.06,42.08
56,1.01,12.81,0.0,0.0,68.0,27.57,42.08
57,0.93,9.83,0.0,0.0,68.0,29.88,43.33
58,4.39,7.86,0.0,0.0,68.0,34.39,44.53
59,3.78,5.16,0.0,0.0,68.0,42.03,45.3
60,0.97,1.95,0.0,0.0,68.0,48.61,46.02
61,0.85,1.34,0.0,0.0,68.0,51.88,45.99
62,0.86,1.4,0.0,0.0,68.0,52.55,45.84
63,1.19,1.49,0.0,0.0,68.0,51.34,45.08
64,0.91,4.04,0.0,0.0,68.0,47.5,44.0
65,1.09,7.09,0.0,0.0,68.0,42.39,42.73
66,1.4,8.65,0.0,0.0,68.0,36.76,41.4
67,1.86,9.02,0.0,0.0,68.0,32.03,41.04
68,4.38,9.74,0.0,0.0,68.0,27.99,40.13
69,1.55,11.96,0.0,0.0,68.0,24.31,39.17
70,1.34,13.62,0.0,0.0,68.0,21.14,38.33
71,1.18,15.65,0.0,0.0,68.0,18.29,37.35
72,1.25,17.41,0.0,0.0,68.0,15.98,36.53
73,0.74,19.04,0.0,0.0,68.0,13.83,35.68
74,1.03,21.63,0.0,0.0,68.0,11.4,34.34
75,0.68,22.67,0.0,0.0,68.0,9.05,33.71
76,0.67,22.78,0.0,0.0,68.0,7.36,33.59
77,0.65,23.18,0.0,0.0,68.0,6.07,33.27
78,1.04,23.07,0.0,0.0,68.0,5.03,33.14
79,0.92,22.15,0.0,0.0,68.0,3.85,33.28
80,1.31,19.54,0.0,0.0,68.0,3.83,33.94
81,4.14,17.79,0.0,0.0,68.0,6.39,34.95
82,1.35,14.18,0.0,0.0,68.0,12.45,36.86
83,1.24,12.27,0.0,0.0,68.0,21.0,38.71
84,2.35,11.66,0.0,0.0,68.0,29.78,39.58
85,0.9,9.57,0.0,0.0,68.0,36.57,41.67
86,0.9,8.5,0.0,0.0,68.0,41.45,43.3
87,1.19,7.31,0.0,0.0,68.0,45.13,44.78
88,1.12,7.6,0.0,0.0,68.0,46.96,45.01
89,1.19,7.87,0.0,0.0,68.0,46.37,44.24
90,1.39,7.54,0.0,0.0,68.0,44.53,44.08
91,1.51,7.44,0.0,0.0,68.0,42.71,43.73
92,2.22,6.97,0.0,0.0,68.0,41.44,44.23
93,1.73,7.21,0.0,0.0,68.0,40.58,43.9
94,1.3,7.45,0.0,0.0,68.0,39.65,43.67
95,1.48,8.07,0.0,0.0,68.0,38.54,43.43
96,0.81,6.66,0.0,0.0,68.0,39.25,45.48
97,0.68,8.87,0.0,0.0,68.0,39.55,43.95
98,0.56,7.04,0.0,0.0,68.0,40.28,45.86
99,0.62,6.84,0.0,0.0,68.0,42.03,46.96
100,0.8,7.43,0.0,0.0,68.0,43.18,46.51
101,0.55,7.48,0.0,0.0,68.0,43.08,46.47
102,1.71,7.18,0.0,0.0,68.0,42.86,46.63
103,3.71,9.25,0.0,0.0,68.0,41.78,44.23
104,0.95,5.44,0.0,0.0,68.0,41.25,46.26
105,0.88,2.25,0.0,0.0,68.0,43.48,47.01
106,0.77,0.0,0.0,0.0,68.62,49.19,49.17
107,5.47,0.0,0.0,0.0,68.79,56.08,49.77
108,4.08,0.0,0.0,0.0,69.91,62.84,51.19
109,1.16,0.0,0.0,0.0,70.62,68.25,51.8
110,1.13,0.0,0.0,0.0,70.99,71.34,51.91
111,0.82,0.0,0.0,0.0,71.06,70.93,51.25
112,0.88,0.0,0.0,0.0,70.99,67.11,50.37
113,1.05,0.0,0.0,0.0,70.23,61.66,48.74
114,2.06,0.0,0.0,0.0,69.68,55.8,48.03
115,1.46,0.0,0.0,0.0,69.28,50.32,46.8
116,2.24,0.0,0.0,0.0,68.88,46.14,46.1
117,1.74,0.0,0.0,0.0,68.27,42.67,45.11
118,2.15,1.34,0.0,0.0,68.0,39.39,44.09
119,1.1,2.83,0.0,0.0,68.0,36.49,43.88
120,0.84,4.4,0.0,0.0,68.0,34.38,43.38
121,0.66,5.54,0.0,0.0,68.0,33.21,43.05
122,1.35,6.08,0.0,0.0,68.0,32.81,43.14
123,0.59,7.23,0.0,0.0,68.0,32.47,42.76
124,0.89,8.54,0.0,0.0,68.0,31.85,42.31
125,0.57,9.71,0.0,0.0,68.0,30.48,41.85
126,4.94,11.21,0.0,0.0,68.0,29.15,41.79
127,1.55,10.98,0.0,0.0,68.0,28.55,41.39
128,1.0,10.85,0.0,0.0,68.0,28.52,41.17
129,0.92,8.02,0.0,0.0,68.0,30.21,41.18
130,1.59,6.01,0.0,0.0,68.0,33.98,41.45
131,0.87,3.78,0.0,0.0,68.0,40.5,41.63
132,1.48,1.66,0.0,0.0,68.0,46.88,42.22
133,2.96,0.32,0.0,0.0,68.0,49.74,42.7
134,1.57,0.48,0.0,0.0,68.0,50.2,42.74
135,0.87,0.0,0.0,0.0,68.3,49.63,43.08
136,1.22,0.0,0.0,0.0,68.29,47.53,42.78
137,1.06,2.45,0.0,0.0,68.0,44.02,42.1
138,2.1,5.16,0.0,0.0,68.0,39.67,41.39
139,2.9,6.52,0.0,0.0,68.0,35.3,40.51
140,1.82,7.68,0.0,0.0,68.0,31.85,39.79
