zip_code,cambium_gea
98001,NWPPc
98002,NWPPc
98003,NWPPc
98004,NWPPc
98005,NWPPc
98006,NWPPc
98007,NWPPc
98008,NWPPc
98009,NWPPc
98010,NWPPc
98011,NWPPc
98012,NWPPc
98013,NWPPc
98014,NWPPc
98015,NWPPc
98019,NWPPc
98020,NWPPc
98021,NWPPc
98022,NWPPc
98023,NWPPc
98024,NWPPc
98025,NWPPc
98026,NWPPc
98027,NWPPc
98028,NWPPc
98029,NWPPc
98030,NWPPc
98031,NWPPc
98032,NWPPc
98033,NWPPc
98034,NWPPc
98035,NWPPc
98036,NWPPc
98037,NWPPc
98038,NWPPc
98039,NWPPc
98040,NWPPc
98041,NWPPc
98042,NWPPc
98043,NWPPc
98045,NWPPc
98046,NWPPc
98047,NWPPc
98050,NWPPc
98051,NWPPc
98052,NWPPc
98053,NWPPc
98055,NWPPc
98056,NWPPc
98057,NWPPc
98058,NWPPc
98059,NWPPc
98061,NWPPc
98062,NWPPc
98063,NWPPc
98064,NWPPc
98065,NWPPc
98068,NWPPc
98070,NWPPc
98071,NWPPc
98072,NWPPc
98073,NWPPc
98074,NWPPc
98075,NWPPc
98077,NWPPc
98082,NWPPc
98083,NWPPc
98087,NWPPc
98089,NWPPc
98092,NWPPc
98093,NWPPc
98101,NWPPc
98102,NWPPc
98103,NWPPc
98104,NWPPc
98105,NWPPc
98106,NWPPc
98107,NWPPc
98108,NWPPc
98109,NWPPc
98110,NWPPc
98111,NWPPc
98112,NWPPc
98113,NWPPc
98114,NWPPc
98115,NWPPc
98116,NWPPc
98117,NWPPc
98118,NWPPc
98119,NWPPc
98121,NWPPc
98122,NWPPc
98124,NWPPc
98125,NWPPc
98126,NWPPc
98127,NWPPc
98129,NWPPc
98131,NWPPc
98133,NWPPc
98134,NWPPc
98136,NWPPc
98138,NWPPc
98139,NWPPc
98141,NWPPc
98144,NWPPc
98145,NWPPc
98146,NWPPc
98148,NWPPc
98154,NWPPc
98155,NWPPc
98158,NWPPc
98160,NWPPc
98161,NWPPc
98164,NWPPc
98165,NWPPc
98166,NWPPc
98168,NWPPc
98170,NWPPc
98174,NWPPc
98175,NWPPc
98177,NWPPc
98178,NWPPc
98181,NWPPc
98185,NWPPc
98188,NWPPc
98190,NWPPc
98191,NWPPc
98194,NWPPc
98195,NWPPc
98198,NWPPc
98199,NWPPc
98201,NWPPc
98203,NWPPc
98204,NWPPc
98206,NWPPc
98207,NWPPc
98208,NWPPc
98213,NWPPc
98220,NWPPc
98221,NWPPc
98222,NWPPc
98223,NWPPc
98224,NWPPc
98225,NWPPc
98226,NWPPc
98227,NWPPc
98228,NWPPc
98229,NWPPc
98230,NWPPc
98231,NWPPc
98232,NWPPc
98233,NWPPc
98235,NWPPc
98236,NWPPc
98237,NWPPc
98238,NWPPc
98239,NWPPc
98240,NWPPc
98241,NWPPc
98243,NWPPc
98244,NWPPc
98245,NWPPc
98247,NWPPc
98248,NWPPc
98249,NWPPc
98250,NWPPc
98251,NWPPc
98252,NWPPc
98253,NWPPc
98255,NWPPc
98256,NWPPc
98257,NWPPc
98258,NWPPc
98259,NWPPc
98260,NWPPc
98261,NWPPc
98262,NWPPc
98263,NWPPc
98264,NWPPc
98266,NWPPc
98267,NWPPc
98270,NWPPc
98271,NWPPc
98272,NWPPc
98273,NWPPc
98274,NWPPc
98275,NWPPc
98276,NWPPc
98277,NWPPc
98278,NWPPc
98279,NWPPc
98280,NWPPc
98281,NWPPc
98282,NWPPc
98283,NWPPc
98284,NWPPc
98286,NWPPc
98287,NWPPc
98288,NWPPc
98290,NWPPc
98291,NWPPc
98292,NWPPc
98293,NWPPc
98294,NWPPc
98295,NWPPc
98296,NWPPc
98297,NWPPc
98303,NWPPc
98304,NWPPc
98310,NWPPc
98311,NWPPc
98312,NWPPc
98314,NWPPc
98315,NWPPc
98321,NWPPc
98322,NWPPc
98323,NWPPc
98327,NWPPc
98328,NWPPc
98329,NWPPc
98330,NWPPc
98332,NWPPc
98333,NWPPc
98335,NWPPc
98337,NWPPc
