Time,CENTRAL AIR SYSTEM:Des Heat Mass Flow [kg/s],CENTRAL AIR SYSTEM:Des Cool Mass Flow [kg/s],CENTRAL AIR SYSTEM:Des Heat Cap [W],CENTRAL AIR SYSTEM:Des Sens Cool Cap [W] 
01:00:00,5.699735E-01,6.302646E-02,2.033237E+04,4.321822E+02 
02:00:00,5.772276E-01,3.797011E-02,2.059114E+04,2.371689E+02 
03:00:00,5.814175E-01,2.216362E-02,2.074060E+04,1.282827E+02 
04:00:00,5.840362E-01,4.416072E-03,2.083402E+04,2.353665E+01 
05:00:00,5.863890E-01,0.000000E+00,2.091795E+04,0.000000E+00 
06:00:00,5.861931E-01,0.000000E+00,2.091096E+04,0.000000E+00 
07:00:00,5.760063E-01,0.000000E+00,2.054757E+04,0.000000E+00 
08:00:00,5.737854E-01,0.000000E+00,2.046835E+04,0.000000E+00 
09:00:00,5.790093E-01,8.015870E-03,2.065470E+04,9.536902E+01 
10:00:00,5.879157E-01,3.106729E-02,2.097241E+04,4.502917E+02 
11:00:00,5.855864E-01,6.195861E-02,2.088932E+04,1.039985E+03 
12:00:00,5.916599E-01,9.146054E-02,2.110598E+04,1.674875E+03 
13:00:00,5.925617E-01,1.183580E-01,2.113815E+04,2.312059E+03 
14:00:00,5.922002E-01,1.539563E-01,2.112525E+04,3.125027E+03 
15:00:00,5.912345E-01,1.832780E-01,2.109080E+04,3.720203E+03 
16:00:00,5.897080E-01,2.010426E-01,2.103635E+04,3.896551E+03 
17:00:00,5.810420E-01,2.152491E-01,2.072721E+04,3.908882E+03 
18:00:00,5.572449E-01,2.245417E-01,1.987831E+04,3.734672E+03 
19:00:00,5.440760E-01,2.231271E-01,1.940854E+04,3.199942E+03 
20:00:00,5.373100E-01,2.094076E-01,1.916718E+04,2.651355E+03 
21:00:00,5.370775E-01,1.922323E-01,1.915889E+04,2.169643E+03 
22:00:00,5.392506E-01,1.714065E-01,1.923641E+04,1.698968E+03 
23:00:00,5.480442E-01,1.374020E-01,1.955010E+04,1.215012E+03 
24:00:00,5.583412E-01,1.000835E-01,1.991742E+04,7.780077E+02 
Coinc Peak   ,5.925617E-01,2.245417E-01,2.113815E+04,3.734672E+03 
NonCoinc Peak,5.925617E-01,2.245417E-01,2.113815E+04,3.734672E+03 
