Time,LIVING:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
01:00:00,8.529661E+03,5.842373E+02,4.559788E-01,5.480562E-02 
02:00:00,8.638251E+03,3.519719E+02,4.617821E-01,3.301749E-02 
03:00:00,8.700933E+03,2.054501E+02,4.651340E-01,1.927271E-02 
04:00:00,8.740092E+03,4.093543E+01,4.672289E-01,3.840063E-03 
05:00:00,8.775284E+03,0.000000E+00,4.691112E-01,0.000000E+00 
06:00:00,8.772344E+03,0.000000E+00,4.689545E-01,0.000000E+00 
07:00:00,8.619875E+03,0.000000E+00,4.608050E-01,0.000000E+00 
08:00:00,8.586560E+03,0.000000E+00,4.590283E-01,0.000000E+00 
09:00:00,8.664670E+03,7.430066E+01,4.632075E-01,6.970322E-03 
10:00:00,8.798079E+03,2.879831E+02,4.703326E-01,2.701503E-02 
11:00:00,8.763421E+03,5.743396E+02,4.684691E-01,5.387705E-02 
12:00:00,8.854326E+03,8.478213E+02,4.733279E-01,7.953090E-02 
13:00:00,8.867807E+03,1.097164E+03,4.740494E-01,1.029200E-01 
14:00:00,8.862421E+03,1.427185E+03,4.737602E-01,1.338750E-01 
15:00:00,8.847961E+03,1.699052E+03,4.729876E-01,1.593722E-01 
16:00:00,8.825121E+03,1.863722E+03,4.717664E-01,1.748197E-01 
17:00:00,8.695421E+03,1.995348E+03,4.648336E-01,1.871732E-01 
18:00:00,8.339252E+03,2.081449E+03,4.457959E-01,1.952537E-01 
19:00:00,8.142009E+03,2.068315E+03,4.352608E-01,1.940235E-01 
20:00:00,8.040584E+03,1.941135E+03,4.298480E-01,1.820935E-01 
21:00:00,8.037112E+03,1.781929E+03,4.296620E-01,1.671585E-01 
22:00:00,8.069738E+03,1.588884E+03,4.314005E-01,1.490491E-01 
23:00:00,8.201402E+03,1.273675E+03,4.384354E-01,1.194800E-01 
24:00:00,8.355545E+03,9.277448E+02,4.466730E-01,8.702913E-02 
Peak,8.867807E+03,2.081449E+03,4.740494E-01,1.952537E-01 

Peak Vol Flow (m3/s),,,4.912014E-01,2.023183E-01 
