type,subtype,program,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7,8
slab_perimeter_ins_depth,,SF_National_3.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4
slab_perimeter_ins_depth,,SF_National_3.1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4
slab_perimeter_ins_depth,,SF_National_3.2,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4
slab_perimeter_ins_depth,,SF_Pacific_3.0,0,0,0,,,,,,,,,,,,,,,,,
slab_perimeter_ins_depth,,SF_Florida_3.1,0,0,0,0,0,0,,,,,,,,,,,,,,
slab_perimeter_ins_depth,,SF_OregonWashington_3.2,,,,,,,,,,,,2,2,2,2,2,2,2,,
slab_perimeter_ins_depth,,MF_National_1.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
slab_perimeter_ins_depth,,MF_National_1.1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
slab_perimeter_ins_depth,,MF_National_1.2,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4
slab_perimeter_ins_depth,,MF_OregonWashington_1.2,,,,,,,,,,,,2,2,2,2,2,2,2,,
slab_perimeter_ins_depth,,1.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4
slab_perimeter_ins_rvalue,,SF_National_3.0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
slab_perimeter_ins_rvalue,,SF_National_3.1,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
slab_perimeter_ins_rvalue,,SF_National_3.2,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
slab_perimeter_ins_rvalue,,SF_Pacific_3.0,0,0,0,,,,,,,,,,,,,,,,,
slab_perimeter_ins_rvalue,,SF_Florida_3.1,0,0,0,0,0,0,,,,,,,,,,,,,,
slab_perimeter_ins_rvalue,,SF_OregonWashington_3.2,,,,,,,,,,,,10,10,10,10,10,10,10,,
slab_perimeter_ins_rvalue,,MF_National_1.0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,15,15,15,15,20
slab_perimeter_ins_rvalue,,MF_National_1.1,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,15,15,15,15,20
slab_perimeter_ins_rvalue,,MF_National_1.2,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
slab_perimeter_ins_rvalue,,MF_OregonWashington_1.2,,,,,,,,,,,10,10,10,10,10,10,10,10,,
slab_perimeter_ins_rvalue,,1.0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
slab_under_ins_width,,SF_National_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
