type	subtype	4C	5A	5B	5C	6A	6B	6C
foundation_walls_ufactor		0.042	0.042	0.042	0.042	0.042	0.042	0.042
foundation_walls_rvalue								
slab_perimeter_ins_depth								
slab_perimeter_ins_rvalue		10	10	10	10	10	10	10
slab_under_ins_width		999	999	999	999	999	999	999
slab_under_ins_rvalue		10	10	10	10	10	10	10
floors_ufactor		0.028	0.028	0.028	0.028	0.028	0.028	0.028
floors_insulated	other heated space	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
floors_insulated	other multifamily buffer space	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
floors_insulated	other non-freezing space	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
walls_ufactor		0.056	0.056	0.056	0.056	0.056	0.056	0.056
walls_solar_abs		0.75	0.75	0.75	0.75	0.75	0.75	0.75
walls_emittance		0.9	0.9	0.9	0.9	0.9	0.9	0.9
door_ufactor		0.17	0.17	0.17	0.17	0.17	0.17	0.17
window_area		"same as rated, with exceptions"	"same as rated, with exceptions"	"same as rated, with exceptions"	"same as rated, with exceptions"	"same as rated, with exceptions"	"same as rated, with exceptions"	"same as rated, with exceptions"
window_ufactor		0.27	0.27	0.27	0.27	0.27	0.27	0.27
window_shgc		0.3	0.3	0.3	0.3	0.3	0.3	0.3
ceiling_ufactor		0.026	0.026	0.026	0.026	0.026	0.026	0.026
radiant_barrier	ducts in unconditioned attic	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
radiant_barrier		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vented_attic		always	always	always	always	always	always	always
roof_solar_abs		0.92	0.92	0.92	0.92	0.92	0.92	0.92
roof_emittance		0.9	0.9	0.9	0.9	0.9	0.9	0.9
lighting_tier1_int		0.9	0.9	0.9	0.9	0.9	0.9	0.9
lighting_tier1_ext		0	0	0	0	0	0	0
lighting_tier1_grg		0	0	0	0	0	0	0
lighting_tier2_int		0	0	0	0	0	0	0
lighting_tier2_ext		0	0	0	0	0	0	0
lighting_tier2_grg		0	0	0	0	0	0	0
refrigerator_rated_annual_kwh		423	423	423	423	423	423	423
clothes_washer_imef		1	1	1	1	1	1	1
clothes_washer_ler		400	400	400	400	400	400	400
clothes_washer_elec_rate		0.12	0.12	0.12	0.12	0.12	0.12	0.12
clothes_washer_gas_rate		1.09	1.09	1.09	1.09	1.09	1.09	1.09
clothes_washer_ghwc		27	27	27	27	27	27	27
clothes_washer_capacity		3	3	3	3	3	3	3
clothes_washer_lcy		312	312	312	312	312	312	312
clothes_dryer_cef		3.01	3.01	3.01	3.01	3.01	3.01	3.01
dishwasher_ler	compact	203	203	203	203	203	203	203
dishwasher_elec_rate	compact	0.12	0.12	0.12	0.12	0.12	0.12	0.12
dishwasher_gas_rate	compact	1.09	1.09	1.09	1.09	1.09	1.09	1.09
dishwasher_ghwc	compact	14.2	14.2	14.2	14.2	14.2	14.2	14.2
dishwasher_lcy	compact	208	208	208	208	208	208	208
dishwasher_ler	standard	270	270	270	270	270	270	270
dishwasher_elec_rate	standard	0.12	0.12	0.12	0.12	0.12	0.12	0.12
dishwasher_gas_rate	standard	1.09	1.09	1.09	1.09	1.09	1.09	1.09
dishwasher_ghwc	standard	22.23	22.23	22.23	22.23	22.23	22.23	22.23
dishwasher_lcy	standard	208	208	208	208	208	208	208
