type	subtype	1A	1B	1C	2A	2B	2C	3A	3B	3C	4A	4B	4C	5A	5B	5C	6A	6B	6C	7	8
foundation_walls_ufactor																					
foundation_walls_rvalue		0	0	0	0	0	0	0	0	0	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	10	12.5
slab_perimeter_ins_depth		0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2
slab_perimeter_ins_rvalue		0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	15	15	15	15	20
slab_under_ins_width		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slab_under_ins_rvalue		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
floors_over_uncond_spc_ufactor	wood	0.282	0.282	0.282	0.052	0.052	0.052	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033
floors_over_uncond_spc_ufactor	mass	0.322	0.322	0.322	0.087	0.087	0.087	0.087	0.087	0.087	0.074	0.074	0.064	0.064	0.064	0.064	0.057	0.057	0.057	0.051	0.051
walls_ufactor		0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.064	0.064	0.064	0.064	0.051	0.051	0.051	0.051	0.036
walls_solar_abs		0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
walls_emittance		0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
door_ufactor		0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21
window_area		0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F	0.15 x CFA x FA x F
window_ufactor	residential	0.6	0.6	0.6	0.6	0.6	0.6	0.35	0.35	0.35	0.32	0.32	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
window_ufactor	"architectural, operable"	0.65	0.65	0.65	0.65	0.65	0.65	0.6	0.6	0.6	0.45	0.45	0.45	0.45	0.45	0.45	0.43	0.43	0.43	0.37	0.37
window_ufactor	"architectural, fixed"	0.5	0.5	0.5	0.5	0.5	0.5	0.46	0.46	0.46	0.38	0.38	0.38	0.38	0.38	0.38	0.36	0.36	0.36	0.29	0.29
window_shgc		0.27	0.27	0.27	0.27	0.27	0.27	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
ceiling_ufactor		0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027
radiant_barrier	ducts in unconditioned attic	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
radiant_barrier		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vented_attic		if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location	if has attic or duct location
roof_solar_abs		0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
roof_emittance		0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
lighting_tier1_int		0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
lighting_tier1_ext		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lighting_tier1_grg		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lighting_tier2_int		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lighting_tier2_ext		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lighting_tier2_grg		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
refrigerator_rated_annual_kwh		423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423	423
clothes_washer_imef		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clothes_washer_ler		400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
clothes_washer_elec_rate		0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
clothes_washer_gas_rate		1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
clothes_washer_ghwc		27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
clothes_washer_capacity		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
clothes_washer_lcy		312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312
