type,subtype,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7,8
vented_attic_radiant_barrier_bool,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infil_air_leakage,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mechanical_ventilation_fan_type,,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,exhaust only,exhaust only,exhaust only,exhaust only,exhaust only,exhaust only,exhaust only,exhaust only,exhaust only
mechanical_ventilation_fan_sre,,,,,,,,,,,,,,,,,,,,,
door_ufactor,,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
foundation_walls_ufactor,,0.36,0.36,0.36,0.36,0.36,0.36,0.091,0.091,0.091,0.059,0.059,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
foundation_walls_rvalue,,,,,,,,,,,,,,,,,,,,,
walls_ufactor,,0.084,0.084,0.084,0.084,0.084,0.084,0.06,0.06,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
floors_over_uncond_spc_ufactor,,0.064,0.064,0.064,0.064,0.064,0.064,0.047,0.047,0.047,0.047,0.047,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.028,0.028
hot_water_distribution_pipe_r_value,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boiler_eff,fuel_oil,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
boiler_eff,natural_gas_propane_wood_wood_pellets,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
furnace_afue,fuel_oil,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
furnace_afue,natural_gas_propane_wood_wood_pellets,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
heat_pump_backup_fuel,,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity,electricity
ashp_hspf,,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
gshp_cop,,,,,,,,,,,,,,,,,,,,,
ac_seer,,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14
ashp_seer,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
gshp_eer,,,,,,,,,,,,,,,,,,,,,
fan_cfm_per_w,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
slab_perimeter_ins_depth,,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4
slab_perimeter_ins_rvalue,,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
slab_under_ins_width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_under_ins_rvalue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceiling_ufactor,,0.035,0.035,0.035,0.026,0.026,0.026,0.026,0.026,0.026,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
window_ufactor,,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
window_shgc,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
fFI_int,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fFI_ext,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fFI_grg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fFII_int,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fFII_ext,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fFII_grg,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
regrigerator_rated_annual_kwh,,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
hvac_charge_defect_ratio,,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
hvac_airflow_defect_ratio,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
hvac_fan_watts_per_cfm,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
