type,subtype,program,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7,8,
radiant_barrier_bool,,1.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
radiant_barrier_bool,,2.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
infil_air_leakage,single_family_detached,1.0,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,1.5,
infil_air_leakage,single_family_attached_apartment,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
infil_air_leakage,single_family_detached,2.0,2.75,2.75,2.75,2.75,2.75,2.75,2.25,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,
infil_air_leakage,single_family_attached_apartment,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
mechanical_ventilation_fan_type,,1.0,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,
mechanical_ventilation_fan_type,,2.0,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,supply only,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,heat recovery ventilator,
mechanical_ventilation_fan_sre,,1.0,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
mechanical_ventilation_fan_sre,,2.0,,,,,,,,,,,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
door_ufactor,,1.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,
door_ufactor,,2.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,
foundation_walls_ufactor_or_rvalue,,1.0,0.36,0.36,0.36,0.36,0.36,0.36,0.091,0.091,0.091,0.059,0.059,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
foundation_walls_ufactor_or_rvalue,,2.0,0.36,0.36,0.36,0.36,0.36,0.36,0.091,0.091,0.091,0.059,0.059,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
walls_ufactor,,1.0,0.084,0.084,0.084,0.084,0.084,0.084,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.045,0.045,0.045,0.045,0.045,
walls_ufactor,,2.0,0.084,0.084,0.084,0.084,0.084,0.084,0.06,0.06,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,
floors_over_uncond_spc_ufactor,,1.0,0.064,0.064,0.064,0.064,0.064,0.064,0.047,0.047,0.047,0.047,0.047,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.028,0.028,
floors_over_uncond_spc_ufactor,,2.0,0.064,0.064,0.064,0.064,0.064,0.064,0.047,0.047,0.047,0.047,0.047,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.028,0.028,
hot_water_distribution_pipe_r_value,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hot_water_distribution_pipe_r_value,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
boiler_eff,fuel_oil,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
boiler_eff,natural_gas_propane_wood_wood_pellets,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
boiler_eff,fuel_oil,2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
